Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
21/07/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
22/07/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
25/07/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
26/07/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
27/07/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
28/07/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
29/07/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
01/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
02/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
03/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
04/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
05/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
08/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
09/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
10/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
11/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
12/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
15/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
16/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
17/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
18/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
19/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
22/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
23/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
24/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
25/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
26/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
29/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
30/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
31/08/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
01/09/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
05/09/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
06/09/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
07/09/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
08/09/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
09/09/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
12/09/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
13/09/2011,0,0,0(0.00 %),0,0,0,0,3920000,0.0
