Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
11/01/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
12/01/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
13/01/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
14/01/2011,0,0,0(0.00 %),0,0,0,0,6297420,0.56
17/01/2011,0,0,0(0.00 %),0,0,0,0,6297420,0.56
18/01/2011,100,850000,0(0.00 %),100,850000,0,0,0,0.0
19/01/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
20/01/2011,100,850000,0(0.00 %),100,850000,0,0,0,0.0
21/01/2011,0,0,8.2(0.00 %),0,0,0,0,0,0.0
24/01/2011,0,0,7.8(-4.88 %),0,0,0,0,0,0.0
25/01/2011,0,0,7.6(-2.56 %),0,0,0,0,0,0.0
26/01/2011,0,0,7.9(3.95 %),0,0,0,0,0,0.0
27/01/2011,0,0,8(1.27 %),0,0,0,0,0,0.0
28/01/2011,0,0,8.3(3.75 %),0,0,0,0,0,0.0
08/02/2011,0,0,8.3(0.00 %),0,0,0,0,0,0.0
09/02/2011,0,0,8.3(0.00 %),0,0,0,0,6297420,0.56
10/02/2011,0,0,7.9(-4.82 %),0,0,0,0,0,0.0
11/02/2011,0,0,7.9(0.00 %),0,0,0,0,6297420,0.56
14/02/2011,0,0,7.7(-2.53 %),0,0,0,0,0,0.0
15/02/2011,0,0,7.7(0.00 %),0,0,0,0,0,0.0
16/02/2011,0,0,7.4(-3.90 %),0,0,0,0,0,0.0
17/02/2011,0,0,7.4(0.00 %),0,0,0,0,0,0.0
18/02/2011,0,0,7.4(0.00 %),0,0,0,0,0,0.0
21/02/2011,0,0,7.3(-1.35 %),0,0,0,0,0,0.0
22/02/2011,0,0,7(-4.11 %),0,0,0,0,0,0.0
23/02/2011,0,0,7.2(2.86 %),0,0,0,0,0,0.0
24/02/2011,0,0,7.2(0.00 %),0,0,0,0,0,0.0
25/02/2011,0,0,7.4(2.78 %),0,0,0,0,0,0.0
28/02/2011,0,0,7.4(0.00 %),0,0,0,0,0,0.0
01/03/2011,0,0,7.2(-2.70 %),0,0,0,0,0,0.0
02/03/2011,0,0,6.9(-4.17 %),0,0,0,0,0,0.0
03/03/2011,0,0,6.9(0.00 %),0,0,0,0,0,0.0
04/03/2011,0,0,6.8(-1.45 %),0,0,0,0,0,0.0
07/03/2011,0,0,6.5(-4.41 %),0,0,0,0,0,0.0
08/03/2011,0,0,6.5(0.00 %),0,0,0,0,0,0.0
09/03/2011,0,0,6.3(-3.08 %),0,0,0,0,0,0.0
10/03/2011,0,0,6.6(4.76 %),0,0,0,0,0,0.0
11/03/2011,0,0,6.9(4.55 %),0,0,0,0,0,0.0
14/03/2011,0,0,6.6(-4.35 %),0,0,0,0,0,0.0
15/03/2011,0,0,6.9(4.55 %),0,0,0,0,0,0.0
16/03/2011,0,0,7.1(2.90 %),0,0,0,0,6364800,0.04
17/03/2011,0,0,7.2(1.41 %),0,0,0,0,6364800,0.04
18/03/2011,0,0,7.2(0.00 %),0,0,0,0,6364800,0.04
21/03/2011,500,3450000,6.9(-4.17 %),500,3450000,0,0,6364300,0.04
22/03/2011,1100,7590000,6.8(-1.45 %),1100,7590000,0,0,6363200,0.05
23/03/2011,2000,13600000,6.9(1.47 %),2000,13600000,0,0,6361200,0.07
24/03/2011,1000,6900000,7(1.45 %),1000,6900000,0,0,6360200,0.08
25/03/2011,0,0,7.2(2.86 %),0,0,0,0,6360200,0.08
28/03/2011,60,432000,7.2(0.00 %),60,432000,0,0,6360140,0.08
29/03/2011,0,0,6.9(-4.17 %),0,0,0,0,6360140,0.08
30/03/2011,0,0,6.9(0.00 %),0,0,0,0,6360140,0.08
31/03/2011,0,0,6.9(0.00 %),0,0,0,0,6360140,0.08
01/04/2011,0,0,6.6(-4.35 %),0,0,0,0,6360140,0.08
04/04/2011,0,0,6.9(4.55 %),0,0,0,0,6360140,0.08
05/04/2011,1500,10350000,6.9(0.00 %),1500,10350000,0,0,6358640,0.09
06/04/2011,0,0,7.1(2.90 %),0,0,0,0,6358640,0.09
07/04/2011,1500,10650000,7.1(0.00 %),1500,10650000,0,0,6357140,0.1
08/04/2011,2000,14200000,7.1(0.00 %),2000,14200000,0,0,6355140,0.11
13/04/2011,0,0,7(-1.41 %),0,0,0,0,6355140,0.11
14/04/2011,1110,7960000,7.2(2.86 %),1110,7960000,0,0,6354030,0.12
15/04/2011,0,0,7.2(0.00 %),0,0,0,0,6354030,0.12
18/04/2011,1000,7030000,7.2(0.00 %),1000,7030000,0,0,6353030,0.13
19/04/2011,0,0,7.2(0.00 %),0,0,0,0,6353030,0.13
20/04/2011,0,0,7.2(0.00 %),0,0,0,0,6353030,0.13
21/04/2011,0,0,7.2(0.00 %),0,0,0,0,6353030,0.13
22/04/2011,1000,7100000,7(-2.78 %),1000,7100000,0,0,6352030,0.14
25/04/2011,0,0,7.2(2.86 %),0,0,0,0,6352030,0.14
26/04/2011,0,0,7.2(0.00 %),0,0,0,0,6352030,0.14
27/04/2011,0,0,7.1(-1.39 %),0,0,0,0,6352030,0.14
28/04/2011,0,0,7.2(1.41 %),0,0,0,0,6352030,0.14
29/04/2011,0,0,7.2(0.00 %),0,0,0,0,6352030,0.14
04/05/2011,0,0,7(-2.78 %),0,0,0,0,6352030,0.14
05/05/2011,0,0,7(0.00 %),0,0,0,0,6352030,0.14
06/05/2011,0,0,7.2(2.86 %),0,0,0,0,6352030,0.14
09/05/2011,0,0,7.5(4.17 %),0,0,0,0,6352030,0.14
10/05/2011,0,0,7.8(4.00 %),0,0,0,0,6352030,0.14
11/05/2011,8000,64000000,8(2.56 %),8000,64000000,0,0,6344030,0.2
12/05/2011,0,0,8(0.00 %),0,0,0,0,6344030,0.2
13/05/2011,4000,32000000,8(0.00 %),4000,32000000,0,0,6340030,0.23
16/05/2011,14140,115520000,8(0.00 %),14140,115520000,0,0,6325890,0.34
17/05/2011,0,0,7.6(-5.00 %),0,0,0,0,6325890,0.34
18/05/2011,10200,80560000,7.9(3.95 %),10200,80560000,0,0,6315690,0.42
19/05/2011,0,0,7.8(-1.27 %),0,0,0,0,6315690,0.42
20/05/2011,0,0,6.7(-1.47 %),0,0,0,0,6315690,0.42
23/05/2011,0,0,6.9(2.99 %),0,0,0,0,6315690,0.42
24/05/2011,1000,6600000,6.6(-4.35 %),1000,6600000,0,0,6314690,0.43
25/05/2011,5050,31815000,6.3(-4.55 %),5050,31815000,0,0,6309640,0.46
26/05/2011,0,0,6.6(4.76 %),0,0,0,0,6309640,0.46
27/05/2011,0,0,6.8(3.03 %),0,0,0,0,6309640,0.46
30/05/2011,4000,27382000,6.7(-1.47 %),4000,27382000,0,0,6305640,0.5
31/05/2011,0,0,6.7(0.00 %),0,0,0,0,6305640,0.5
01/06/2011,10,65000,6.8(1.49 %),10,65000,0,0,6305640,0.5
02/06/2011,0,0,6.8(0.00 %),0,0,0,0,6305640,0.5
03/06/2011,5990,41730000,6.8(0.00 %),5990,41730000,0,0,6299650,0.54
06/06/2011,2000,13800000,6.9(1.47 %),2000,13800000,0,0,6297650,0.56
07/06/2011,0,0,6.9(0.00 %),0,0,0,0,6297650,0.56
08/06/2011,0,0,6.9(0.00 %),0,0,0,0,6297650,0.56
09/06/2011,0,0,6.7(-2.90 %),0,0,0,0,6297650,0.56
10/06/2011,0,0,6.8(1.49 %),0,0,0,0,6297650,0.56
13/06/2011,220,1496000,6.8(0.00 %),220,1496000,0,0,6297430,0.56
14/06/2011,0,0,6.9(1.47 %),0,0,0,0,6297430,0.56
15/06/2011,0,0,6.7(-2.90 %),0,0,0,0,6297430,0.56
16/06/2011,0,0,6.9(2.99 %),0,0,0,0,6297430,0.56
17/06/2011,0,0,6.8(-1.45 %),0,0,0,0,6297430,0.56
20/06/2011,0,0,7(2.94 %),0,0,0,0,6297430,0.56
21/06/2011,780,5460000,7.1(1.43 %),780,5460000,0,0,6296650,0.56
22/06/2011,0,0,7(-1.41 %),0,0,0,0,6296650,0.56
23/06/2011,0,0,7(0.00 %),0,0,0,0,6296650,0.56
24/06/2011,0,0,7.1(1.43 %),0,0,0,0,6296650,0.56
27/06/2011,0,0,7.4(4.23 %),0,0,0,0,6296650,0.56
28/06/2011,0,0,7.4(0.00 %),0,0,0,0,6296650,0.56
29/06/2011,130,936000,7.5(1.35 %),130,936000,0,0,6296520,0.57
30/06/2011,0,0,7.4(-1.33 %),0,0,0,0,6296520,0.57
01/07/2011,0,0,7.3(-1.35 %),0,0,0,0,6296640,0.56
04/07/2011,0,0,7.3(0.00 %),0,0,0,0,6296640,0.56
05/07/2011,0,0,7.3(0.00 %),0,0,0,0,6296640,0.56
06/07/2011,1000,7300000,7.2(-1.37 %),1000,7300000,0,0,6295640,0.57
07/07/2011,0,0,7(-2.78 %),0,0,0,0,6295640,0.57
08/07/2011,0,0,7.2(2.86 %),0,0,0,0,6295640,0.57
11/07/2011,0,0,7.3(1.39 %),0,0,0,0,6295640,0.57
12/07/2011,-2000,-14000000,7(-4.11 %),0,0,2000,14000000,6297640,0.56
13/07/2011,0,0,7.2(2.86 %),0,0,0,0,6297640,0.56
14/07/2011,0,0,7.2(0.00 %),0,0,0,0,6297640,0.56
15/07/2011,0,0,6.9(-4.17 %),0,0,0,0,6297640,0.56
18/07/2011,0,0,6.8(-1.45 %),0,0,0,0,6297640,0.56
19/07/2011,0,0,7(2.94 %),0,0,0,0,6297640,0.56
20/07/2011,0,0,7.2(2.86 %),0,0,0,0,6297640,0.56
21/07/2011,0,0,7.2(0.00 %),0,0,0,0,6297640,0.56
22/07/2011,1000,7100000,7.1(-1.39 %),1000,7100000,0,0,6296640,0.56
25/07/2011,0,0,7.1(0.00 %),0,0,0,0,6296640,0.56
26/07/2011,0,0,7.2(1.41 %),0,0,0,0,6296640,0.56
27/07/2011,0,0,7.2(0.00 %),0,0,0,0,6296640,0.56
28/07/2011,0,0,7.2(0.00 %),0,0,0,0,6296640,0.56
29/07/2011,0,0,7.2(0.00 %),0,0,0,0,6296640,0.56
01/08/2011,0,0,7.1(-1.39 %),0,0,0,0,6296510,0.57
02/08/2011,0,0,7(-1.41 %),0,0,0,0,6296510,0.57
03/08/2011,0,0,6.9(-1.43 %),0,0,0,0,6296510,0.57
04/08/2011,0,0,6.9(0.00 %),0,0,0,0,6296510,0.57
05/08/2011,0,0,6.9(0.00 %),0,0,0,0,6296510,0.57
08/08/2011,0,0,7(1.45 %),0,0,0,0,6296510,0.57
09/08/2011,0,0,6.7(-4.29 %),0,0,0,0,6296510,0.57
10/08/2011,0,0,6.8(1.49 %),0,0,0,0,6296510,0.57
11/08/2011,0,0,6.8(0.00 %),0,0,0,0,6296510,0.57
12/08/2011,0,0,6.8(0.00 %),0,0,0,0,6296510,0.57
15/08/2011,1000,6500000,6.5(-4.41 %),1000,6500000,0,0,6295510,0.57
16/08/2011,0,0,6.7(3.08 %),0,0,0,0,6295510,0.57
17/08/2011,0,0,7(4.48 %),0,0,0,0,6295510,0.57
18/08/2011,0,0,7(0.00 %),0,0,0,0,6295510,0.57
19/08/2011,0,0,7(0.00 %),0,0,0,0,6295510,0.57
22/08/2011,0,0,7.1(1.43 %),0,0,0,0,6295510,0.57
23/08/2011,0,0,7.1(0.00 %),0,0,0,0,6295510,0.57
24/08/2011,0,0,7.1(0.00 %),0,0,0,0,6295510,0.57
25/08/2011,0,0,7.1(0.00 %),0,0,0,0,6295510,0.57
26/08/2011,0,0,7.3(2.82 %),0,0,0,0,6295510,0.57
29/08/2011,0,0,7.1(-2.74 %),0,0,0,0,6295510,0.57
30/08/2011,0,0,7.1(0.00 %),0,0,0,0,6295510,0.57
31/08/2011,0,0,7.3(2.82 %),0,0,0,0,6295510,0.57
01/09/2011,0,0,7.2(-1.37 %),0,0,0,0,6295510,0.57
05/09/2011,0,0,7.2(0.00 %),0,0,0,0,6295510,0.57
06/09/2011,1000,7000000,7.2(0.00 %),1000,7000000,0,0,6294510,0.58
07/09/2011,0,0,7(-2.78 %),0,0,0,0,6294510,0.58
08/09/2011,0,0,7.1(1.43 %),0,0,0,0,6294510,0.58
09/09/2011,0,0,7.2(1.41 %),0,0,0,0,6294510,0.58
12/09/2011,0,0,7.3(1.39 %),0,0,0,0,6294510,0.58
13/09/2011,0,0,7.4(1.37 %),0,0,0,0,6294510,0.58
14/09/2011,0,0,7.4(0.00 %),0,0,0,0,6294510,0.58
15/09/2011,0,0,7.4(0.00 %),0,0,0,0,6294510,0.58
16/09/2011,0,0,7.4(0.00 %),0,0,0,0,6294510,0.58
19/09/2011,0,0,7.4(0.00 %),0,0,0,0,6294510,0.58
20/09/2011,0,0,7.3(-1.35 %),0,0,0,0,6294510,0.58
21/09/2011,0,0,7.3(0.00 %),0,0,0,0,6294510,0.58
22/09/2011,0,0,7.4(1.37 %),0,0,0,0,6294510,0.58
23/09/2011,0,0,7.2(-2.70 %),0,0,0,0,6294510,0.58
26/09/2011,19890,137241000,7.2(0.00 %),19890,137241000,0,0,6274620,0.73
27/09/2011,0,0,7.4(2.78 %),0,0,0,0,6274620,0.73
28/09/2011,0,0,7.5(1.35 %),0,0,0,0,6274620,0.73
29/09/2011,0,0,7.5(0.00 %),0,0,0,0,6274620,0.73
30/09/2011,31820,229104000,7.2(-4.00 %),31820,229104000,0,0,6242800,0.98
03/10/2011,0,0,7.2(0.00 %),0,0,0,0,6242800,0.98
04/10/2011,0,0,7.2(0.00 %),0,0,0,0,6242800,0.98
05/10/2011,0,0,7.3(1.39 %),0,0,0,0,6242800,0.98
06/10/2011,0,0,7.4(1.37 %),0,0,0,0,6242800,0.98
07/10/2011,0,0,7.4(0.00 %),0,0,0,0,6242800,0.98
10/10/2011,0,0,7.4(0.00 %),0,0,0,0,6242800,0.98
11/10/2011,0,0,7.4(0.00 %),0,0,0,0,6242800,0.98
12/10/2011,0,0,7.5(1.35 %),0,0,0,0,6242800,0.98
13/10/2011,17620,130388000,7.5(0.00 %),17620,130388000,0,0,6225180,1.11
14/10/2011,0,0,7.5(0.00 %),0,0,0,0,6225180,1.11
17/10/2011,8630,64725000,7.5(0.00 %),8630,64725000,0,0,6216550,1.18
18/10/2011,2000,14800000,7.6(1.33 %),2000,14800000,0,0,6214550,1.2
19/10/2011,0,0,7.8(2.63 %),0,0,0,0,6214550,1.2
20/10/2011,0,0,7.9(1.28 %),0,0,0,0,6214550,1.2
21/10/2011,0,0,7.9(0.00 %),0,0,0,0,6214550,1.2
24/10/2011,0,0,8(1.27 %),0,0,0,0,6214550,1.2
25/10/2011,5000,38000000,8(0.00 %),5000,38000000,0,0,6209550,1.23
26/10/2011,0,0,8(0.00 %),0,0,0,0,6209550,1.23
27/10/2011,29490,232971000,8.2(2.50 %),29490,232971000,0,0,6180060,1.46
28/10/2011,0,0,8.2(0.00 %),0,0,0,0,6180060,1.46
31/10/2011,1100,8690000,7.9(-3.66 %),1100,8690000,0,0,6178960,1.47
01/11/2011,0,0,7.9(0.00 %),0,0,0,0,6178960,1.47
02/11/2011,0,0,7.9(0.00 %),0,0,0,0,6178960,1.47
03/11/2011,1410,10716000,7.6(-3.80 %),1410,10716000,0,0,6177550,1.48
04/11/2011,0,0,7.7(1.32 %),0,0,0,0,6177550,1.48
07/11/2011,0,0,8(3.90 %),0,0,0,0,6177550,1.48
08/11/2011,1600,12160000,7.7(-3.75 %),3600,27360000,2000,15200000,6175950,1.49
09/11/2011,0,0,8(3.90 %),0,0,0,0,6175950,1.49
10/11/2011,5000,38500000,7.7(-3.75 %),13630,104951000,8630,66451000,6170950,1.53
11/11/2011,10,76000,7.9(2.60 %),10,76000,0,0,6170940,1.53
14/11/2011,0,0,7.9(0.00 %),0,0,0,0,6170940,1.53
15/11/2011,0,0,7.9(0.00 %),0,0,0,0,6170940,1.53
16/11/2011,10,76000,7.6(-3.80 %),10,76000,0,0,6170930,1.53
17/11/2011,0,0,7.9(3.95 %),0,0,0,0,6170930,1.53
18/11/2011,0,0,7.9(0.00 %),0,0,0,0,6170930,1.53
21/11/2011,0,0,7.9(0.00 %),0,0,0,0,6170930,1.53
22/11/2011,0,0,8.2(3.80 %),0,0,0,0,6170930,1.53
23/11/2011,10,78000,7.8(-4.88 %),10,78000,0,0,6170920,1.53
24/11/2011,0,0,7.8(0.00 %),0,0,0,0,6170920,1.53
25/11/2011,0,0,7.8(0.00 %),0,0,0,0,6170920,1.53
28/11/2011,0,0,7.8(0.00 %),0,0,0,0,6170920,1.53
29/11/2011,0,0,7.6(-2.56 %),0,0,0,0,6170920,1.53
30/11/2011,10,74000,7.9(3.95 %),10,74000,0,0,6170910,1.53
01/12/2011,0,0,7.6(-3.80 %),0,0,0,0,6170910,1.53
02/12/2011,0,0,7.9(3.95 %),0,0,0,0,6170910,1.53
05/12/2011,0,0,7.9(0.00 %),0,0,0,0,6170910,1.53
06/12/2011,0,0,8.2(3.80 %),0,0,0,0,6170910,1.53
07/12/2011,3000,23400000,7.8(-4.88 %),3000,23400000,0,0,6167910,1.55
08/12/2011,0,0,7.8(0.00 %),0,0,0,0,6167910,1.55
09/12/2011,0,0,8(2.56 %),0,0,0,0,6167910,1.55
12/12/2011,0,0,8(0.00 %),0,0,0,0,6167910,1.55
13/12/2011,800,6080000,7.6(-5.00 %),800,6080000,0,0,6167110,1.56
14/12/2011,0,0,7.9(3.95 %),0,0,0,0,6167110,1.56
15/12/2011,0,0,8.1(2.53 %),0,0,0,0,6167110,1.56
16/12/2011,0,0,7.9(-2.47 %),0,0,0,0,6167110,1.56
19/12/2011,2980,22648000,7.6(-3.80 %),2980,22648000,0,0,6164130,1.58
20/12/2011,0,0,7.8(2.63 %),0,0,0,0,6164130,1.58
21/12/2011,9410,70575000,7.5(-3.85 %),9410,70575000,0,0,6154720,1.66
22/12/2011,0,0,7.8(4.00 %),0,0,0,0,6154720,1.66
23/12/2011,0,0,8(2.56 %),0,0,0,0,6154720,1.66
26/12/2011,0,0,8(0.00 %),0,0,0,0,6154720,1.66
27/12/2011,7960,60496000,8.2(2.50 %),7960,60496000,0,0,6146760,1.72
28/12/2011,0,0,8.2(0.00 %),0,0,0,0,6146760,1.72
29/12/2011,11430,89154000,7.8(-4.88 %),11430,89154000,0,0,6135330,1.81
30/12/2011,10,75000,8.1(3.85 %),10,75000,0,0,6135320,1.81
03/01/2012,0,0,7.8(-3.70 %),0,0,0,0,6135320,1.81
04/01/2012,0,0,7.8(0.00 %),0,0,0,0,6135320,1.81
05/01/2012,0,0,8(2.56 %),0,0,0,0,6135320,1.81
06/01/2012,0,0,8(0.00 %),0,0,0,0,6135320,1.81
09/01/2012,0,0,8.3(3.75 %),0,0,0,0,6135320,1.81
10/01/2012,0,0,8.7(4.82 %),0,0,0,0,6135320,1.81
11/01/2012,0,0,8.4(-3.45 %),0,0,0,0,6135320,1.81
12/01/2012,30,243000,8.5(1.19 %),30,243000,0,0,6135290,1.81
13/01/2012,0,0,8.6(1.18 %),0,0,0,0,6135290,1.81
16/01/2012,0,0,8.9(3.49 %),0,0,0,0,6135290,1.81
17/01/2012,0,0,9.2(3.37 %),0,0,0,0,6135290,1.81
18/01/2012,11630,102344000,8.8(-4.35 %),11630,102344000,0,0,6123660,1.89
19/01/2012,0,0,9(2.27 %),0,0,0,0,6123660,1.89
20/01/2012,0,0,8.8(-2.22 %),0,0,0,0,6123660,1.89
30/01/2012,0,0,9.1(3.41 %),0,0,0,0,6123660,1.89
31/01/2012,0,0,9.4(3.30 %),0,0,0,0,6123660,1.89
01/02/2012,11500,103500000,9(-4.26 %),11500,103500000,0,0,6123660,1.89
02/02/2012,880,7568000,8.6(-4.44 %),880,7568000,0,0,6122780,1.9
03/02/2012,70,581000,8.6(0.00 %),70,581000,0,0,6122710,1.9
06/02/2012,0,0,9(4.65 %),0,0,0,0,6122710,1.9
07/02/2012,-3000,-25800000,9.2(2.22 %),0,0,3000,25800000,6125710,1.88
08/02/2012,80,748000,9.5(3.26 %),80,748000,0,0,6125630,1.88
09/02/2012,0,0,9.5(0.00 %),0,0,0,0,6125630,1.88
10/02/2012,0,0,9.5(0.00 %),0,0,0,0,6125630,1.88
13/02/2012,0,0,9.1(-4.21 %),0,0,0,0,6125630,1.88
14/02/2012,0,0,8.8(-3.30 %),0,0,0,0,6125630,1.88
15/02/2012,-90,-801000,9(2.27 %),0,0,90,801000,6125720,1.88
16/02/2012,0,0,9(0.00 %),0,0,0,0,6125720,1.88
17/02/2012,0,0,9.4(4.44 %),0,0,0,0,6125720,1.88
20/02/2012,4250,38250000,9.1(-3.19 %),4250,38250000,0,0,6121470,1.91
21/02/2012,0,0,9.1(0.00 %),0,0,0,0,6121470,1.91
22/02/2012,0,0,9.4(3.30 %),0,0,0,0,6121470,1.91
23/02/2012,10,90000,9.5(1.06 %),10,90000,0,0,6121460,1.91
24/02/2012,0,0,9.6(1.05 %),0,0,0,0,6121460,1.91
27/02/2012,19820,182344000,9.8(2.08 %),19820,182344000,0,0,6101640,2.06
28/02/2012,6660,62604000,9.4(-4.08 %),6660,62604000,0,0,6094980,2.12
29/02/2012,0,0,9.1(-3.19 %),0,0,0,0,6094980,2.12
01/03/2012,0,0,9(-1.10 %),0,0,0,0,6083480,2.2
02/03/2012,0,0,9.4(4.44 %),0,0,0,0,6083480,2.2
05/03/2012,960,8928000,9.8(4.26 %),960,8928000,0,0,6082520,2.21
06/03/2012,0,0,9.6(-2.04 %),0,0,0,0,6082520,2.21
07/03/2012,0,0,10(4.17 %),0,0,0,0,6082520,2.21
08/03/2012,0,0,10.4(4.00 %),0,0,0,0,6082520,2.21
09/03/2012,3000,29700000,10(-3.85 %),3000,29700000,0,0,6079520,2.23
12/03/2012,0,0,10(0.00 %),0,0,0,0,6079520,2.23
13/03/2012,0,0,10(0.00 %),0,0,0,0,6079520,2.23
14/03/2012,100,950000,10.3(3.00 %),100,950000,0,0,6079420,2.24
15/03/2012,20,196000,10.3(0.00 %),2020,19796000,2000,19600000,6079400,2.24
16/03/2012,0,0,10.1(-1.94 %),0,0,0,0,6079400,2.24
19/03/2012,300,3030000,10.2(0.99 %),300,3030000,0,0,6079100,2.24
20/03/2012,0,0,10.2(0.00 %),0,0,0,0,6079100,2.24
21/03/2012,0,0,10.7(4.90 %),0,0,0,0,6079100,2.24
22/03/2012,0,0,10.3(-3.74 %),0,0,0,0,6079100,2.24
23/03/2012,0,0,10.5(1.94 %),0,0,0,0,6079100,2.24
26/03/2012,0,0,10.4(-0.95 %),0,0,0,0,6079100,2.24
27/03/2012,70,714000,10.2(-1.92 %),1070,10914000,1000,10200000,6079030,2.24
28/03/2012,10,102000,10.2(0.00 %),10,102000,0,0,6079020,2.24
29/03/2012,-1600,-16160000,10.2(0.00 %),400,4040000,2000,20200000,6080620,2.23
30/03/2012,0,0,10.2(0.00 %),0,0,0,0,6080620,2.23
03/04/2012,0,0,10(-1.96 %),0,0,0,0,6078620,2.24
04/04/2012,0,0,9.8(-2.00 %),0,0,0,0,6078620,2.24
05/04/2012,2830,27734000,9.8(0.00 %),2830,27734000,0,0,6075790,2.26
06/04/2012,0,0,10.2(4.08 %),0,0,0,0,6075790,2.26
09/04/2012,0,0,10.2(0.00 %),0,0,0,0,6075790,2.26
10/04/2012,0,0,10.3(0.98 %),0,0,0,0,6075790,2.26
11/04/2012,0,0,10(-2.91 %),0,0,0,0,6075790,2.26
12/04/2012,0,0,10.2(2.00 %),0,0,0,0,6075790,2.26
13/04/2012,0,0,10.3(0.98 %),0,0,0,0,6075790,2.26
16/04/2012,10,98000,10.3(0.00 %),10,98000,0,0,6075780,2.26
17/04/2012,0,0,10(-2.91 %),0,0,0,0,6075780,2.26
18/04/2012,0,0,10.2(2.00 %),0,0,0,0,6075780,2.26
19/04/2012,0,0,10.2(0.00 %),0,0,0,0,6075780,2.26
20/04/2012,0,0,10(-1.96 %),0,0,0,0,6075780,2.26
23/04/2012,0,0,10(0.00 %),0,0,0,0,6075780,2.26
24/04/2012,0,0,10(0.00 %),0,0,0,0,6075780,2.26
25/04/2012,0,0,10.5(5.00 %),0,0,0,0,6075780,2.26
26/04/2012,0,0,11(4.76 %),0,0,0,0,6075780,2.26
27/04/2012,0,0,11.5(4.55 %),0,0,0,0,6075780,2.26
02/05/2012,1050,12600000,12(4.35 %),1050,12600000,0,0,6077780,2.25
03/05/2012,1000,12600000,12.6(5.00 %),1000,12600000,0,0,6076780,2.26
04/05/2012,0,0,12.7(0.79 %),0,0,0,0,6076780,2.26
07/05/2012,0,0,13.3(4.72 %),0,0,0,0,6076780,2.26
08/05/2012,0,0,13.7(3.01 %),0,0,0,0,6076780,2.26
09/05/2012,0,0,14(2.19 %),0,0,0,0,6076780,2.26
10/05/2012,0,0,14(0.00 %),0,0,0,0,6076780,2.26
11/05/2012,4600,61180000,13.3(-5.00 %),4600,61180000,0,0,6072180,2.29
14/05/2012,4900,62230000,12.7(-4.51 %),4900,62230000,0,0,6067280,2.33
15/05/2012,5100,60690000,10.8(-5.26 %),5100,60690000,0,0,6062180,2.37
16/05/2012,7700,84700000,11.1(2.78 %),7700,84700000,0,0,6054480,2.43
17/05/2012,2000,21800000,11.1(0.00 %),2000,21800000,0,0,6052480,2.44
18/05/2012,0,0,10.9(-1.80 %),0,0,0,0,6052480,2.44
21/05/2012,-300,-3180000,11.1(1.83 %),0,0,300,3180000,6052780,2.44
22/05/2012,100,1120000,11.4(2.70 %),100,1120000,0,0,6052680,2.44
23/05/2012,1790,20406000,11.4(0.00 %),1790,20406000,0,0,6050890,2.45
24/05/2012,0,0,11.2(-1.75 %),0,0,0,0,6050890,2.45
25/05/2012,0,0,11.7(4.46 %),0,0,0,0,6050890,2.45
28/05/2012,0,0,11.7(0.00 %),0,0,0,0,6050890,2.45
29/05/2012,690,7866000,11.4(-2.56 %),690,7866000,0,0,6050200,2.46
30/05/2012,5000,57000000,11.4(0.00 %),5000,57000000,0,0,6045200,2.5
31/05/2012,5500,62150000,11(-3.51 %),5500,62150000,0,0,6039700,2.54
01/06/2012,0,0,11(0.00 %),0,0,0,0,6038650,2.55
04/06/2012,5600,61600000,10.5(-4.55 %),5600,61600000,0,0,6033050,2.59
05/06/2012,0,0,11(4.76 %),0,0,0,0,6038650,2.55
06/06/2012,0,0,10.6(-3.64 %),0,0,0,0,6038650,2.55
07/06/2012,-1000,-10600000,11.1(4.72 %),0,0,1000,10600000,6039650,2.54
08/06/2012,0,0,11.4(2.70 %),0,0,0,0,6039650,2.54
11/06/2012,0,0,11.7(2.63 %),0,0,0,0,6039650,2.54
12/06/2012,0,0,11.3(-3.42 %),0,0,0,0,6039650,2.54
13/06/2012,1120,12320000,11(-2.65 %),1120,12320000,0,0,6038530,2.55
14/06/2012,0,0,11(0.00 %),0,0,0,0,6038530,2.55
15/06/2012,0,0,11.5(4.55 %),0,0,0,0,6038530,2.55
18/06/2012,0,0,11.4(-0.87 %),0,0,0,0,6038530,2.55
19/06/2012,0,0,11.4(0.00 %),0,0,0,0,6038530,2.55
20/06/2012,500,5700000,11.4(0.00 %),500,5700000,0,0,6038030,2.55
21/06/2012,1000,11400000,11.4(0.00 %),1000,11400000,0,0,6037030,2.56
22/06/2012,5500,62150000,11.3(-0.88 %),5500,62150000,0,0,6031530,2.6
25/06/2012,0,0,11.7(3.54 %),0,0,0,0,6031530,2.6
26/06/2012,5500,62150000,11.3(-3.42 %),5500,62150000,0,0,6026030,2.65
27/06/2012,2070,23184000,11.2(-0.88 %),2070,23184000,0,0,6023960,2.66
28/06/2012,0,0,11.2(0.00 %),0,0,0,0,6023960,2.66
29/06/2012,-1000,-11300000,11.3(0.89 %),0,0,1000,11300000,6024960,2.65
02/07/2012,1290,14577000,11.3(0.00 %),1290,14577000,0,0,6017070,2.71
