Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
11/06/2019,0,0,7.2(-40.00 %),0,0,0,0,4900000,0.0
12/06/2019,0,0,8.2(12.33 %),0,0,0,0,4900000,0.0
13/06/2019,0,0,8.7(14.47 %),0,0,0,0,4900000,0.0
14/06/2019,3000,26100000,8.5(-2.30 %),3000,26100000,0,0,4897000,0.04
17/06/2019,0,0,8(-5.88 %),0,0,0,0,4897000,0.0
18/06/2019,0,0,8.3(2.47 %),0,0,0,0,4897000,0.0
19/06/2019,0,0,8.1(-2.41 %),0,0,0,0,4897000,0.0
20/06/2019,0,0,8.2(-1.20 %),0,0,0,0,4897000,0.0
21/06/2019,0,0,9.5(14.46 %),0,0,0,0,4897000,0.0
24/06/2019,0,0,10.4(14.29 %),0,0,0,0,4897000,0.0
25/06/2019,0,0,11.8(14.56 %),0,0,0,0,4897000,0.0
26/06/2019,0,0,13.4(14.53 %),0,0,0,0,4897000,0.0
27/06/2019,-3000,-42000000,14.1(6.02 %),0,0,3000,42000000,4900000,0.0
28/06/2019,0,0,16(10.34 %),0,0,0,0,4900000,0.0
01/07/2019,0,0,17(14.86 %),0,0,0,0,4897000,0.0
02/07/2019,0,0,17.4(2.96 %),0,0,0,0,4897000,0.04
03/07/2019,0,0,17(-2.86 %),0,0,0,0,4897000,0.04
04/07/2019,0,0,17.5(0.00 %),0,0,0,0,4897000,0.04
05/07/2019,0,0,17.2(0.58 %),0,0,0,0,4897000,0.0
08/07/2019,0,0,19(12.43 %),0,0,0,0,4897000,0.04
09/07/2019,0,0,20.5(14.53 %),0,0,0,0,4897000,0.04
10/07/2019,0,0,21(3.96 %),0,0,0,0,4897000,0.04
11/07/2019,0,0,20(-1.48 %),0,0,0,0,4897000,0.04
12/07/2019,0,0,20.1(-1.95 %),0,0,0,0,4897000,0.04
15/07/2019,0,0,19.5(-3.94 %),0,0,0,0,4897000,0.04
16/07/2019,0,0,18(-8.16 %),0,0,0,0,4897000,0.04
17/07/2019,1000,18900000,19(1.60 %),1000,18900000,0,0,4896000,0.05
18/07/2019,0,0,18.7(-2.60 %),0,0,0,0,4896000,0.04
19/07/2019,1000,19600000,19.5(4.28 %),1000,19600000,0,0,4895000,0.05
22/07/2019,0,0,19.3(-1.53 %),0,0,0,0,4895000,0.04
23/07/2019,-1000,-19300000,19.3(-0.52 %),0,0,1000,19300000,4896000,0.03
24/07/2019,-1000,-19100000,19(-1.55 %),0,0,1000,19100000,4897000,0.01
25/07/2019,0,0,20(4.71 %),0,0,0,0,4897000,0.01
26/07/2019,1300,26980000,20.9(5.03 %),1300,26980000,0,0,4895700,0.04
29/07/2019,1100,23430000,21(1.45 %),1100,23430000,0,0,4894600,0.05
30/07/2019,0,0,19.5(-7.58 %),0,0,0,0,4894600,0.04
31/07/2019,-1000,-18900000,17.2(-12.69 %),0,0,1000,18900000,4895600,0.03
01/08/2019,0,0,18.7(7.47 %),0,0,0,0,4897600,0.0
02/08/2019,0,0,19.4(4.30 %),0,0,0,0,4897600,0.0
05/08/2019,0,0,19.5(2.63 %),0,0,0,0,4897600,0.01
06/08/2019,0,0,18.6(-3.12 %),0,0,0,0,4897600,0.01
07/08/2019,-1400,-26180000,19(1.60 %),0,0,1400,26180000,4899000,0.0
08/08/2019,0,0,19.6(3.70 %),0,0,0,0,4899000,0.0
09/08/2019,0,0,19.2(-1.03 %),0,0,0,0,4899000,0.0
12/08/2019,1000,19900000,20.1(5.24 %),1000,19900000,0,0,4898000,0.03
13/08/2019,0,0,19.5(-2.01 %),0,0,0,0,4898000,0.01
14/08/2019,0,0,19.6(-1.01 %),0,0,0,0,4898000,0.01
15/08/2019,-1000,-19000000,19.4(-0.51 %),0,0,1000,19000000,4899000,0.0
16/08/2019,0,0,19.2(0.52 %),0,0,0,0,4899000,0.0
19/08/2019,0,0,20(3.63 %),0,0,0,0,4899000,0.0
20/08/2019,15700,351240000,22.3(12.06 %),15700,351240000,0,0,4883300,0.21
21/08/2019,8000,180600000,22.4(2.28 %),8000,180600000,0,0,4875300,0.12
22/08/2019,0,0,22.9(1.78 %),0,0,0,0,4875300,0.01
23/08/2019,0,0,22.7(1.79 %),0,0,0,0,4875300,0.01
26/08/2019,0,0,22.3(-1.33 %),0,0,0,0,4875300,0.01
27/08/2019,2000,46500000,23.6(5.36 %),2000,46500000,0,0,4873300,0.04
28/08/2019,1000,23900000,23.8(2.15 %),1000,23900000,0,0,4872300,0.03
29/08/2019,3040,66748000,20.7(-13.39 %),3040,66748000,0,0,4869260,0.05
30/08/2019,0,0,18.9(-12.09 %),0,0,0,0,4869260,0.01
03/09/2019,500,8950000,16.6(-14.43 %),500,8950000,0,0,4869760,0.01
04/09/2019,-4000,-60400000,15.1(-12.21 %),0,0,4000,60400000,4873760,0.0
05/09/2019,-12200,-186780000,16.5(8.55 %),1000,16500000,13200,203280000,4885960,0.0
06/09/2019,0,0,15.9(-1.24 %),0,0,0,0,4885960,0.0
09/09/2019,0,0,15.2(-5.00 %),0,0,0,0,4885960,0.0
10/09/2019,0,0,14.2(-7.79 %),0,0,0,0,4885960,0.0
11/09/2019,0,0,14.9(6.43 %),0,0,0,0,4885960,0.0
12/09/2019,0,0,15.3(6.25 %),0,0,0,0,4885960,0.0
13/09/2019,0,0,15.7(3.97 %),0,0,0,0,4885960,0.0
16/09/2019,0,0,14.8(-3.90 %),0,0,0,0,4885960,0.0
17/09/2019,0,0,14.8(-1.33 %),0,0,0,0,4885960,0.0
18/09/2019,0,0,14.4(-2.04 %),0,0,0,0,4885960,0.0
19/09/2019,0,0,15(3.45 %),0,0,0,0,4885960,0.0
20/09/2019,0,0,14.9(-0.67 %),0,0,0,0,4885960,0.0
23/09/2019,0,0,14.3(-3.38 %),0,0,0,0,4885960,0.0
24/09/2019,0,0,14.3(-1.38 %),0,0,0,0,4885960,0.0
25/09/2019,0,0,14.1(0.71 %),0,0,0,0,4885960,0.0
26/09/2019,0,0,13.9(0.00 %),0,0,0,0,4885960,0.0
27/09/2019,0,0,13.9(0.00 %),0,0,0,0,4885960,0.0
30/09/2019,-8500,-111610000,13.3(-3.62 %),0,0,8500,111610000,4894460,0.0
01/10/2019,0,0,12.5(-6.02 %),0,0,0,0,4885960,0.0
02/10/2019,0,0,13.8(9.52 %),0,0,0,0,4885960,0.0
03/10/2019,0,0,14.8(9.63 %),0,0,0,0,4885960,0.11
04/10/2019,-1040,-14980000,14.7(0.68 %),0,0,1040,14980000,4887000,0.1
07/10/2019,0,0,14.7(1.38 %),0,0,0,0,4887000,0.1
08/10/2019,0,0,14.4(-2.04 %),0,0,0,0,4887000,0.1
09/10/2019,0,0,14.7(1.38 %),0,0,0,0,4887000,0.11
10/10/2019,0,0,14.9(3.47 %),0,0,0,0,4887000,0.11
11/10/2019,0,0,14.5(-3.97 %),0,0,0,0,4887000,0.11
14/10/2019,0,0,14.4(-2.04 %),0,0,0,0,4887000,0.11
15/10/2019,0,0,14.4(0.00 %),0,0,0,0,4887000,0.11
16/10/2019,-1000,-14000000,13.9(0.00 %),0,0,1000,14000000,4888000,0.1
17/10/2019,0,0,14.1(1.44 %),0,0,0,0,4888000,0.1
18/10/2019,0,0,14(0.72 %),0,0,0,0,4888000,0.1
21/10/2019,0,0,13.7(-1.44 %),0,0,0,0,4888000,0.11
22/10/2019,0,0,13.6(-1.45 %),0,0,0,0,4888000,0.11
23/10/2019,0,0,13.4(0.00 %),0,0,0,0,4888000,0.11
24/10/2019,0,0,13.3(0.00 %),0,0,0,0,4888000,0.11
25/10/2019,0,0,13.1(0.00 %),0,0,0,0,4888000,0.11
28/10/2019,0,0,13.7(6.20 %),0,0,0,0,4888000,0.11
29/10/2019,0,0,13.3(-2.21 %),0,0,0,0,4888000,0.11
30/10/2019,0,0,13.1(-2.24 %),0,0,0,0,4888000,0.11
31/10/2019,0,0,13(-0.76 %),0,0,0,0,4888000,0.11
01/11/2019,0,0,13.1(0.77 %),0,0,0,0,4896500,0.0
04/11/2019,0,0,12.9(0.00 %),0,0,0,0,4896500,0.0
05/11/2019,0,0,12.6(-0.79 %),0,0,0,0,4896500,0.0
06/11/2019,0,0,12.5(-1.57 %),0,0,0,0,4896500,0.0
07/11/2019,0,0,12.2(-2.40 %),0,0,0,0,4896500,0.0
08/11/2019,0,0,12.1(-0.82 %),0,0,0,0,4896500,0.0
11/11/2019,0,0,11.3(-6.61 %),0,0,0,0,4896500,0.0
12/11/2019,0,0,11.2(-1.75 %),0,0,0,0,4896500,0.0
13/11/2019,0,0,10.9(-3.54 %),0,0,0,0,4896500,0.0
14/11/2019,0,0,10.8(0.93 %),0,0,0,0,4896500,0.0
15/11/2019,0,0,11.3(6.60 %),0,0,0,0,4896500,0.0
18/11/2019,0,0,10.9(-1.80 %),0,0,0,0,4896500,0.0
19/11/2019,0,0,10.9(-0.91 %),0,0,0,0,4896500,0.0
20/11/2019,0,0,11.4(4.59 %),0,0,0,0,4896500,0.0
21/11/2019,0,0,12(7.14 %),0,0,0,0,4896500,0.0
22/11/2019,0,0,12(3.45 %),0,0,0,0,4896500,0.0
25/11/2019,0,0,11.8(-0.84 %),0,0,0,0,4896500,0.0
26/11/2019,0,0,11.7(0.86 %),0,0,0,0,4896500,0.0
27/11/2019,0,0,11.5(-0.86 %),0,0,0,0,4896500,0.0
28/11/2019,0,0,11.1(-3.48 %),0,0,0,0,4896500,0.0
29/11/2019,0,0,10.8(-1.82 %),0,0,0,0,4896500,0.0
02/12/2019,0,0,10.6(0.00 %),0,0,0,0,4896500,0.0
03/12/2019,0,0,10.4(-1.89 %),0,0,0,0,4896500,0.0
04/12/2019,0,0,10.4(0.00 %),0,0,0,0,4896500,0.0
05/12/2019,0,0,10.4(1.96 %),0,0,0,0,4896500,0.0
06/12/2019,0,0,11.7(12.50 %),0,0,0,0,4896500,0.0
09/12/2019,0,0,12(7.14 %),0,0,0,0,4896500,0.0
10/12/2019,0,0,11.9(-2.46 %),0,0,0,0,4896500,0.0
11/12/2019,0,0,11(-5.17 %),0,0,0,0,4896500,0.0
12/12/2019,0,0,10.9(-1.80 %),0,0,0,0,4896500,0.0
13/12/2019,0,0,10.9(0.93 %),0,0,0,0,4896500,0.0
16/12/2019,0,0,10.6(-2.75 %),0,0,0,0,4896500,0.0
17/12/2019,0,0,10.6(0.00 %),0,0,0,0,4896500,0.0
18/12/2019,400,4280000,10.7(-0.93 %),400,4280000,0,0,4896100,0.0
19/12/2019,0,0,10.6(0.00 %),0,0,0,0,4896100,0.0
20/12/2019,0,0,10.5(-1.87 %),0,0,0,0,4896100,0.0
23/12/2019,0,0,10.6(0.00 %),0,0,0,0,4896100,0.0
24/12/2019,0,0,10.6(0.00 %),0,0,0,0,4896100,0.0
25/12/2019,0,0,10.3(-3.74 %),0,0,0,0,4896100,0.0
26/12/2019,0,0,10.7(4.90 %),0,0,0,0,4896100,0.0
27/12/2019,0,0,10.5(-0.94 %),0,0,0,0,4896100,0.0
30/12/2019,100,1050000,10.4(-2.80 %),100,1050000,0,0,4896000,0.0
31/12/2019,0,0,10.4(-0.95 %),0,0,0,0,4896000,0.0
02/01/2020,0,0,10.4(0.00 %),0,0,0,0,4896000,0.0
03/01/2020,0,0,10.3(-0.96 %),0,0,0,0,4896000,0.0
06/01/2020,0,0,10.1(-1.94 %),0,0,0,0,4896000,0.0
07/01/2020,0,0,10.2(0.00 %),0,0,0,0,4896000,0.0
08/01/2020,0,0,10(-0.99 %),0,0,0,0,4896000,0.0
09/01/2020,0,0,10.2(2.00 %),0,0,0,0,4896000,0.0
10/01/2020,0,0,10.3(3.00 %),0,0,0,0,4896000,0.0
13/01/2020,0,0,10(-1.96 %),0,0,0,0,4896000,0.0
14/01/2020,0,0,10(0.00 %),0,0,0,0,4896000,0.0
15/01/2020,0,0,10(0.00 %),0,0,0,0,4896000,0.0
16/01/2020,0,0,9.8(-2.00 %),0,0,0,0,4896000,0.04
17/01/2020,100,990000,9.8(-1.01 %),100,990000,0,0,4895900,0.04
20/01/2020,0,0,9.6(-3.03 %),0,0,0,0,4895900,0.04
21/01/2020,0,0,9.8(2.08 %),0,0,0,0,4895900,0.04
22/01/2020,0,0,9.7(-1.02 %),0,0,0,0,4895900,0.0
30/01/2020,0,0,9.5(-3.06 %),0,0,0,0,4895900,0.0
31/01/2020,0,0,8.4(-11.58 %),0,0,0,0,4895900,0.0
03/02/2020,0,0,7.8(-12.36 %),0,0,0,0,4895900,0.0
04/02/2020,0,0,7.7(0.00 %),0,0,0,0,4895900,0.0
05/02/2020,100,790000,7.9(2.60 %),100,790000,0,0,4895800,0.0
06/02/2020,0,0,8.2(3.80 %),0,0,0,0,4895800,0.0
07/02/2020,0,0,9.2(15.00 %),0,0,0,0,4895800,0.0
10/02/2020,0,0,9(0.00 %),0,0,0,0,4895800,0.0
11/02/2020,0,0,9(0.00 %),0,0,0,0,4895800,0.0
12/02/2020,0,0,8.6(-5.49 %),0,0,0,0,4895800,0.0
13/02/2020,0,0,8.6(0.00 %),0,0,0,0,4895800,0.0
14/02/2020,0,0,8.5(-2.30 %),0,0,0,0,4895800,0.0
17/02/2020,0,0,8.4(-2.33 %),0,0,0,0,4895800,0.0
18/02/2020,0,0,8.3(-1.19 %),0,0,0,0,4895800,0.0
19/02/2020,0,0,8.7(6.10 %),0,0,0,0,4895800,0.0
20/02/2020,0,0,8.6(0.00 %),0,0,0,0,4895800,0.0
21/02/2020,0,0,8.3(-4.60 %),0,0,0,0,4895800,0.0
24/02/2020,0,0,8.5(0.00 %),0,0,0,0,4895800,0.0
25/02/2020,0,0,8.8(7.32 %),0,0,0,0,4895800,0.0
26/02/2020,0,0,9.8(12.64 %),0,0,0,0,4895800,0.0
27/02/2020,-200,-2060000,10.9(14.74 %),0,0,200,2060000,4896000,0.0
28/02/2020,-500,-6050000,12.1(13.08 %),0,0,500,6050000,4896500,0.0
02/03/2020,0,0,11.6(-3.33 %),0,0,0,0,4895800,0.0
03/03/2020,0,0,12.6(7.69 %),0,0,0,0,4895800,0.0
04/03/2020,0,0,12.9(5.74 %),0,0,0,0,4895800,0.01
05/03/2020,500,6300000,12(-5.51 %),500,6300000,0,0,4895300,0.01
06/03/2020,300,3300000,11.5(-4.17 %),300,3300000,0,0,4895000,0.01
09/03/2020,0,0,9.5(-14.41 %),0,0,0,0,4895000,0.01
10/03/2020,1000,9530000,10.2(6.25 %),1000,9530000,0,0,4894000,0.02
11/03/2020,-2500,-24650000,0(0.00 %),0,0,2500,24650000,4896500,0.03
12/03/2020,-300,-2700000,9(-12.62 %),0,0,300,2700000,4896800,0.03
13/03/2020,300,2760000,9(0.00 %),300,2760000,0,0,4896500,0.0
16/03/2020,0,0,9.2(4.55 %),0,0,0,0,4896500,0.0
17/03/2020,0,0,9.1(4.60 %),0,0,0,0,4896500,0.01
18/03/2020,-700,-6230000,8.9(2.30 %),0,0,700,6230000,4897200,0.0
19/03/2020,0,0,8.5(-4.49 %),0,0,0,0,4897200,0.0
20/03/2020,0,0,8.6(0.00 %),0,0,0,0,4897200,0.0
23/03/2020,700,6390000,9.2(8.24 %),1000,9300000,300,2910000,4896500,0.01
24/03/2020,0,0,8.7(-7.45 %),0,0,0,0,4896500,0.0
25/03/2020,0,0,9(1.12 %),0,0,0,0,4896500,0.0
26/03/2020,0,0,8.1(-10.00 %),0,0,0,0,4896500,0.01
27/03/2020,-1300,-10560000,7.9(-5.95 %),0,0,1300,10560000,4897800,0.0
30/03/2020,0,0,7(-12.50 %),0,0,0,0,4897800,0.0
31/03/2020,0,0,6.8(-4.23 %),0,0,0,0,4897800,0.02
01/04/2020,1400,9940000,7.2(4.35 %),1400,9940000,0,0,4897100,0.01
03/04/2020,400,2960000,7.7(8.45 %),400,2960000,0,0,4896700,0.0
06/04/2020,200,1640000,8.2(6.49 %),200,1640000,0,0,4896500,0.0
07/04/2020,0,0,8(-1.23 %),0,0,0,0,4896500,0.0
08/04/2020,-1400,-11060000,7.9(-1.25 %),0,0,1400,11060000,4897900,0.0
09/04/2020,0,0,8.1(3.85 %),0,0,0,0,4897900,0.0
10/04/2020,0,0,8(-2.44 %),0,0,0,0,4897900,0.02
13/04/2020,-600,-4800000,8(-1.23 %),0,0,600,4800000,4898500,0.0
14/04/2020,1500,11850000,7.7(-3.75 %),1500,11850000,0,0,4897000,0.01
15/04/2020,0,0,8.2(5.13 %),0,0,0,0,4897000,0.0
16/04/2020,0,0,8(-1.23 %),0,0,0,0,4897000,0.0
17/04/2020,1000,9200000,9.3(14.81 %),1000,9200000,0,0,4896000,0.01
20/04/2020,400,3920000,9.8(11.36 %),400,3920000,0,0,4895600,0.0
21/04/2020,0,0,8.5(-11.46 %),0,0,0,0,4895600,0.0
22/04/2020,0,0,8.6(-2.27 %),0,0,0,0,4895600,0.0
23/04/2020,500,4400000,8.7(3.57 %),500,4400000,0,0,4895100,0.0
24/04/2020,0,0,9(2.27 %),0,0,0,0,4895100,0.0
27/04/2020,0,0,8.7(-3.33 %),0,0,0,0,4895100,0.0
28/04/2020,0,0,8.7(0.00 %),0,0,0,0,4895100,0.0
29/04/2020,0,0,8.5(-1.16 %),0,0,0,0,4895100,0.0
04/05/2020,0,0,8.4(-1.18 %),0,0,0,0,4895100,0.0
05/05/2020,0,0,8.5(0.00 %),0,0,0,0,4895100,0.0
06/05/2020,0,0,8.7(3.57 %),0,0,0,0,4895100,0.05
07/05/2020,0,0,8.7(1.16 %),0,0,0,0,4895100,0.0
08/05/2020,0,0,8.4(-3.45 %),0,0,0,0,4895100,0.0
11/05/2020,0,0,8.5(1.19 %),0,0,0,0,4895100,0.0
12/05/2020,0,0,8.6(1.18 %),0,0,0,0,4895100,0.0
13/05/2020,0,0,8.6(0.00 %),0,0,0,0,4895100,0.0
14/05/2020,1000,8800000,9.3(9.41 %),1000,8800000,0,0,4894100,0.01
15/05/2020,0,0,8.9(-3.26 %),0,0,0,0,4894100,0.0
18/05/2020,0,0,8.8(-2.22 %),0,0,0,0,4894100,0.0
19/05/2020,0,0,9(2.27 %),0,0,0,0,4894100,0.0
20/05/2020,0,0,9(1.12 %),0,0,0,0,4894100,0.0
21/05/2020,0,0,9.1(0.00 %),0,0,0,0,4894100,0.0
22/05/2020,0,0,8.7(-4.40 %),0,0,0,0,4894100,0.0
25/05/2020,0,0,9.2(4.55 %),0,0,0,0,4894100,0.0
26/05/2020,0,0,9.3(2.20 %),0,0,0,0,4894100,0.0
27/05/2020,0,0,9(-3.23 %),0,0,0,0,4894100,0.0
28/05/2020,0,0,9.1(0.00 %),0,0,0,0,4894100,0.0
29/05/2020,0,0,8.9(-1.11 %),0,0,0,0,4894100,0.06
01/06/2020,0,0,9(1.12 %),0,0,0,0,4894100,0.0
02/06/2020,0,0,9.1(1.11 %),0,0,0,0,4894100,0.0
03/06/2020,0,0,9.1(0.00 %),0,0,0,0,4894100,0.0
04/06/2020,-400,-3560000,8.9(-1.11 %),0,0,400,3560000,4894500,0.0
05/06/2020,0,0,9(1.12 %),0,0,0,0,4894500,0.0
08/06/2020,-1000,-9700000,9.8(10.11 %),0,0,1000,9700000,4895500,0.0
09/06/2020,0,0,9.7(1.04 %),0,0,0,0,4895500,0.0
10/06/2020,0,0,9.7(0.00 %),0,0,0,0,4895500,0.0
11/06/2020,0,0,9.7(1.04 %),0,0,0,0,4895500,0.0
12/06/2020,0,0,9(-9.09 %),0,0,0,0,4895500,0.0
15/06/2020,-3000,-26260000,8.8(-2.22 %),0,0,3000,26260000,4898500,0.0
16/06/2020,0,0,9(1.12 %),0,0,0,0,4898500,0.0
17/06/2020,0,0,9.1(2.25 %),0,0,0,0,4898500,0.0
18/06/2020,0,0,8.9(-1.11 %),0,0,0,0,4898500,0.0
19/06/2020,0,0,9.6(7.87 %),0,0,0,0,4898500,0.0
22/06/2020,0,0,9.6(1.05 %),0,0,0,0,4898500,0.0
23/06/2020,0,0,9.2(-3.16 %),0,0,0,0,4898500,0.0
24/06/2020,0,0,9.1(-2.15 %),0,0,0,0,4898500,0.0
25/06/2020,0,0,9(-1.10 %),0,0,0,0,4898500,0.02
26/06/2020,0,0,9(0.00 %),0,0,0,0,4898500,0.0
29/06/2020,2200,19800000,8.8(-1.12 %),2200,19800000,0,0,4896300,0.02
30/06/2020,0,0,8.6(-2.27 %),0,0,0,0,4896300,0.0
01/07/2020,0,0,8.8(2.33 %),0,0,0,0,4896300,0.0
02/07/2020,0,0,8.7(0.00 %),0,0,0,0,4896300,0.0
03/07/2020,0,0,8.7(0.00 %),0,0,0,0,4896300,0.0
06/07/2020,0,0,8.8(1.15 %),0,0,0,0,4896300,0.0
07/07/2020,0,0,8.7(0.00 %),0,0,0,0,4896300,0.0
