Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
15/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
16/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
17/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
18/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
21/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
22/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
23/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
24/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
25/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
28/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
29/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
30/12/2015,0,0,0(0.00 %),0,0,0,0,1176000,0.0
31/12/2015,0,0,13.9(0.00 %),0,0,0,0,1176000,0.0
04/01/2016,0,0,13.9(0.00 %),0,0,0,0,1176000,0.0
05/01/2016,0,0,13.9(0.00 %),0,0,0,0,1176000,0.0
06/01/2016,0,0,13.9(0.00 %),0,0,0,0,1176000,0.0
07/01/2016,0,0,13.9(0.00 %),0,0,0,0,1176000,0.0
08/01/2016,0,0,13.9(0.00 %),0,0,0,0,1176000,0.0
11/01/2016,0,0,13.9(0.00 %),0,0,0,0,1176000,0.0
12/01/2016,0,0,13.9(0.00 %),0,0,0,0,1176000,0.0
13/01/2016,0,0,13.9(0.00 %),0,0,0,0,1176000,0.0
14/01/2016,0,0,11.8(-15.11 %),0,0,0,0,1176000,0.0
15/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
18/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
19/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
20/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
21/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
22/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
25/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
26/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
27/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
28/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
29/01/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
01/02/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
02/02/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
03/02/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
04/02/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
05/02/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
15/02/2016,0,0,11.8(0.00 %),0,0,0,0,1176000,0.0
