Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
18/12/2019,7.4,7.4,0(0.00 %),0,0,0,0,7.4,7.4,7.4
19/12/2019,10.3,10.3,2.9(39.19 %),100,1030000,0,0,10.3,10.3,10.3
20/12/2019,11.8,11.8,1.5(14.56 %),100,1180000,5500,48400000,11.8,11.8,8.8
23/12/2019,13.5,13.5,1.7(14.41 %),600,8100000,0,0,13.5,13.5,13.5
24/12/2019,15.5,15.5,2(14.81 %),200,3100000,0,0,15.5,15.5,15.5
25/12/2019,17.8,17.8,2.3(14.84 %),800,14240000,0,0,17.8,17.8,17.8
26/12/2019,20.0,20.0,2.2(12.36 %),1100,22400000,0,0,20.4,20.4,20.0
27/12/2019,20.0,20.0,-0.4(-1.96 %),300,6000000,0,0,20.0,20.0,20.0
30/12/2019,20.0,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
31/12/2019,20.0,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
02/01/2020,17.0,17.0,-3(-15.00 %),100,1700000,0,0,17.0,17.0,17.0
03/01/2020,17.0,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
06/01/2020,17.0,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
07/01/2020,14.5,14.5,-2.5(-14.71 %),200,2900000,0,0,14.5,14.5,14.5
08/01/2020,13.0,13.0,-1.5(-10.34 %),17500,227500000,0,0,13.0,13.0,13.0
09/01/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
10/01/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
13/01/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
14/01/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
15/01/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
16/01/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
17/01/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
20/01/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
21/01/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
22/01/2020,14.8,14.8,1.8(13.85 %),100,1480000,0,0,14.8,14.8,14.8
30/01/2020,16.9,16.9,2.1(14.19 %),808,13630800,0,0,17.0,17.0,16.9
31/01/2020,16.9,16.9,0(0.00 %),0,0,0,0,16.9,16.9,16.9
03/02/2020,16.9,16.9,0(0.00 %),0,0,0,0,16.9,16.9,16.9
04/02/2020,18.9,18.9,2(11.83 %),100,1890000,0,0,18.9,18.9,18.9
05/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
06/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
07/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
10/02/2020,18.9,18.9,0(0.00 %),10,200000,0,0,18.9,18.9,18.9
11/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
12/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
13/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
14/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
17/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
18/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
19/02/2020,18.9,18.9,0(0.00 %),2,40000,0,0,18.9,18.9,18.9
20/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
21/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
24/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
25/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
26/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
27/02/2020,18.9,18.9,0(0.00 %),0,0,8000,151200000,18.9,18.9,18.9
28/02/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
02/03/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
03/03/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
04/03/2020,18.9,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
05/03/2020,16.1,16.1,-2.8(-14.81 %),700,11270000,0,0,16.1,16.1,16.1
06/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
09/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
10/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
12/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
13/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
16/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
17/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
18/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
19/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
20/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
23/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
24/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
25/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
26/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
27/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
30/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
31/03/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
01/04/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
03/04/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
06/04/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
07/04/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
08/04/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
09/04/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
10/04/2020,16.1,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
13/04/2020,13.7,13.7,-2.4(-14.91 %),110,1507000,0,0,13.7,13.7,13.7
14/04/2020,13.7,13.7,0(0.00 %),0,0,0,0,13.7,13.7,13.7
15/04/2020,13.7,13.7,0(0.00 %),0,0,0,0,13.7,13.7,13.7
16/04/2020,14.9,14.9,1.2(8.76 %),100,1490000,0,0,14.9,14.9,14.9
17/04/2020,14.9,14.9,0(0.00 %),0,0,0,0,14.9,14.9,14.9
20/04/2020,14.9,14.9,0(0.00 %),0,0,0,0,14.9,14.9,14.9
21/04/2020,14.9,14.9,0(0.00 %),0,0,0,0,14.9,14.9,14.9
22/04/2020,14.9,14.9,0(0.00 %),0,0,0,0,14.9,14.9,14.9
23/04/2020,13.0,13.0,-1.9(-12.75 %),200,2600000,0,0,13.0,13.0,13.0
24/04/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
27/04/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
28/04/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
29/04/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
04/05/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
05/05/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
06/05/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
07/05/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
08/05/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
11/05/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
12/05/2020,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
13/05/2020,14.0,14.0,1(7.69 %),700,9860000,0,0,14.7,14.7,13.9
14/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
15/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
18/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
19/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
20/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
21/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
22/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
25/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
26/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
27/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
28/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
29/05/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
01/06/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
02/06/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
03/06/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
04/06/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
05/06/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
08/06/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
09/06/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
10/06/2020,14.1,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
11/06/2020,14.0,14.0,-0.1(-0.71 %),100,1400000,0,0,14.0,14.0,14.0
12/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
15/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
16/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
17/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
18/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
19/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
22/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
23/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
24/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
25/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
26/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
29/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
30/06/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
01/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
02/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
03/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
06/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
07/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
08/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
09/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
10/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
13/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
14/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
15/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
16/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
17/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
20/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
21/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
22/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
23/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
24/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
27/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
28/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
29/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
30/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
31/07/2020,14.0,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
03/08/2020,12.0,12.0,-2(-14.29 %),500,6000000,0,0,12.0,12.0,12.0
04/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
05/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
06/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
07/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
10/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
11/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
12/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
13/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
14/08/2020,12.0,12.0,0(0.00 %),16300,195590000,0,0,11.9,12.0,11.9
17/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
18/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
19/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
20/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
21/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
24/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
25/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
26/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
27/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
28/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
31/08/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
01/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
03/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
04/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
07/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
08/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
09/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
10/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
11/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
14/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
15/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
16/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
17/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
18/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
21/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
22/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
23/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
24/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
25/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
28/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
29/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
30/09/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
01/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
02/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
05/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
06/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
07/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
08/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
09/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
12/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
13/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
14/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
15/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
16/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
19/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
20/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
21/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
22/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
23/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
26/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
27/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
28/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
29/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
30/10/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
02/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
03/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
04/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
05/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
06/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
09/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
10/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
11/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
12/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
13/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
16/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
17/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
18/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
19/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
20/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
24/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
25/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
26/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
27/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
30/11/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
01/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
02/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
03/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
04/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
07/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
08/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
09/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
10/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
11/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
14/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
15/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
16/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
17/12/2020,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
18/12/2020,13.8,13.8,1.8(15.00 %),2600,34550000,0,0,12.5,13.8,12.5
21/12/2020,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
22/12/2020,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
23/12/2020,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
24/12/2020,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
25/12/2020,13.3,13.3,0(0.00 %),7,98000,0,0,13.3,13.3,13.3
28/12/2020,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
29/12/2020,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
30/12/2020,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
31/12/2020,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
04/01/2021,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
05/01/2021,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
06/01/2021,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
07/01/2021,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
08/01/2021,13.3,13.3,0(0.00 %),0,0,0,0,13.3,13.3,13.3
11/01/2021,12.0,12.0,-1.3(-9.77 %),500,6000000,0,0,12.0,12.0,12.0
12/01/2021,12.0,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
13/01/2021,12.0,12.0,0(0.00 %),71,887500,0,0,12.0,12.0,12.0
14/01/2021,11.9,11.9,-0.1(-0.83 %),500,5950000,0,0,11.9,11.9,11.9
15/01/2021,10.2,10.2,-1.7(-14.29 %),3200,32710000,0,0,10.3,10.3,10.2
18/01/2021,10.0,10.0,-0.2(-1.96 %),200,2000000,0,0,10.0,10.0,10.0
19/01/2021,8.6,8.6,-1.4(-14.00 %),900,8460000,0,0,9.8,9.8,8.6
20/01/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
21/01/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
22/01/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
25/01/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
26/01/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
27/01/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
28/01/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
29/01/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
01/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
02/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
03/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
04/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
05/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
17/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
18/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
19/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
22/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
23/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
24/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
25/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
26/02/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
01/03/2021,9.4,9.4,0(0.00 %),100,940000,0,0,9.4,9.4,9.4
02/03/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
03/03/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
04/03/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
05/03/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
09/03/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
10/03/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
11/03/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
12/03/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
15/03/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
16/03/2021,9.4,9.4,0(0.00 %),0,0,0,0,9.4,9.4,9.4
17/03/2021,9.5,9.5,0.1(1.06 %),1300,10550000,0,0,8.0,9.5,8.0
18/03/2021,7.7,7.7,-0.4(-4.94 %),1600,12480000,0,0,9.3,9.3,7.7
19/03/2021,7.8,7.8,0(0.00 %),0,0,0,0,7.8,7.8,7.8
22/03/2021,7.8,7.8,0(0.00 %),0,0,0,0,7.8,7.8,7.8
23/03/2021,7.0,7.0,-0.8(-10.26 %),200,1400000,0,0,7.0,7.0,7.0
24/03/2021,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
25/03/2021,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
26/03/2021,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
29/03/2021,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
30/03/2021,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
31/03/2021,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
01/04/2021,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
02/04/2021,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
05/04/2021,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
06/04/2021,7.0,7.0,0(0.00 %),0,0,0,0,7.0,7.0,7.0
