Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
29/06/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
30/06/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
01/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
02/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
03/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
06/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
07/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
08/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,24.5
09/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,24.5
10/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
13/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
14/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
15/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
16/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
17/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
20/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
21/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
22/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
23/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
24/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
27/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
28/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
29/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
30/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
31/07/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
03/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
04/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
05/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
06/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
07/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
10/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
11/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
12/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
13/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
14/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
17/08/2015,0,0,11.3(0.00 %),0,0,0,0,22050000,0.0
18/08/2015,0,0,10.8(0.00 %),0,0,0,0,22050000,0.0
19/08/2015,0,0,10.8(0.00 %),0,0,0,0,22050000,0.0
20/08/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
21/08/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
24/08/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
25/08/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
26/08/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
27/08/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
28/08/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
31/08/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
01/09/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
03/09/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
04/09/2015,0,0,11.3(4.63 %),0,0,0,0,22050000,0.0
