Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
05/10/2017,1254400,17867900000,0(0.00 %),1254400,17867900000,0,0,31045600,44.19
06/10/2017,1000,13700000,0(0.00 %),1000,13700000,0,0,31044600,44.19
10/10/2017,100100,1396380000,0(0.00 %),100100,1396380000,0,0,30936500,44.21
11/10/2017,0,0,0(0.00 %),0,0,0,0,30936500,44.21
12/10/2017,25000,325000000,0(0.00 %),25000,325000000,0,0,30911500,44.21
16/10/2017,-600000,-7513910000,0(0.00 %),0,0,600000,7513910000,30911500,44.21
17/10/2017,-340,-4253000,0(0.00 %),210,2760000,550,7013000,30911290,44.21
18/10/2017,100,1350000,0(0.00 %),100,1350000,0,0,30911190,44.21
19/10/2017,63431,827603000,0(0.00 %),63431,827603000,0,0,31447759,44.13
20/10/2017,4569,59047000,0(0.00 %),4569,59047000,0,0,31443740,44.13
23/10/2017,14000,177840000,0(0.00 %),14000,177840000,0,0,31429740,44.13
24/10/2017,1370000,17618530000,13(2.36 %),1370000,17618530000,0,0,30059740,44.35
25/10/2017,2546400,34296810000,13.6(5.43 %),2546400,34296810000,0,0,27513340,44.74
26/10/2017,3370500,45631190000,13.6(0.74 %),3380700,45768880000,10200,137690000,24132640,45.26
27/10/2017,527500,7099980000,13.5(0.00 %),527500,7099980000,0,0,23605140,45.35
30/10/2017,277100,3705320000,13.3(-1.48 %),278000,3717300000,900,11980000,23327140,45.39
31/10/2017,210900,2760030000,13(-2.26 %),210900,2760030000,0,0,23126440,45.42
01/11/2017,226100,2954460000,13.1(0.00 %),232600,3038960000,6500,84500000,22893840,45.46
02/11/2017,0,0,13(0.00 %),0,0,0,0,22894740,45.46
03/11/2017,99100,1273380000,12.8(-1.54 %),100100,1286280000,1000,12900000,22794640,45.47
06/11/2017,0,0,12.7(-0.78 %),1550000,19835000000,1550000,19835000000,22751140,45.48
07/11/2017,1007600,12605180000,12.5(-1.57 %),1028600,12867680000,21000,262500000,21722540,45.64
08/11/2017,930000,11790510000,12.9(3.20 %),930000,11790510000,0,0,20793540,45.78
09/11/2017,1274500,16853220000,13.2(3.94 %),1274500,16853220000,0,0,19569040,45.97
10/11/2017,1324490,17432809000,13(-1.52 %),1324500,17432940000,10,131000,18265540,46.17
13/11/2017,501300,6514900000,13(-0.76 %),503000,6537000000,1700,22100000,17762540,46.25
14/11/2017,389400,4891700000,12.6(3.28 %),390000,4899140000,600,7440000,17372540,46.31
15/11/2017,805000,10185220000,12.8(1.59 %),805000,10185220000,0,0,16567550,46.44
16/11/2017,2334510,30744380000,13.3(4.72 %),2334510,30744380000,0,0,14234740,46.8
17/11/2017,181110,2383582000,13(-0.76 %),181710,2391442000,600,7860000,14053630,46.82
20/11/2017,400000,5218500000,12.9(-1.53 %),400000,5218500000,0,0,13653630,46.89
21/11/2017,1010500,13092450000,13(0.00 %),1010500,13092450000,0,0,12643130,47.04
22/11/2017,1408510,18509851000,13.1(1.55 %),1408510,18509851000,0,0,11235220,47.26
23/11/2017,355000,4728460000,13.2(0.76 %),364000,4846460000,9000,118000000,10871220,47.32
24/11/2017,1700100,22441290000,13.3(0.76 %),1708100,22546090000,8000,104800000,9163120,47.58
27/11/2017,4033300,55194880000,13.9(5.30 %),4034000,55204270000,700,9390000,5129120,48.21
28/11/2017,5133500,71500990000,13.6(0.00 %),5138100,71564470000,4600,63480000,20,49.0
29/11/2017,8000,107800000,13.3(-4.32 %),8000,107800000,0,0,20,49.0
30/11/2017,-7300,-97680000,13.4(0.00 %),700,9520000,8000,107200000,20,49.0
01/12/2017,4600,60200000,13(-2.99 %),4600,60200000,0,0,20,49.0
04/12/2017,0,0,13.1(0.77 %),0,0,0,0,20,49.0
05/12/2017,2200,28800000,13(-0.76 %),2200,28800000,0,0,5820,49.0
06/12/2017,1300,16930000,12.9(-1.53 %),1700,22100000,400,5170000,4120,49.0
07/12/2017,-9900,-127310000,12.9(-0.77 %),100,1290000,10000,128600000,4020,49.0
08/12/2017,-600,-7460000,13.1(1.55 %),2800,36400000,3400,43860000,1220,49.0
11/12/2017,-14700,-197040000,13.4(3.08 %),900,12150000,15600,209190000,720,49.0
12/12/2017,10700,142310000,13.3(-0.75 %),10700,142310000,0,0,20,49.0
13/12/2017,3400,44850000,13.1(0.00 %),3400,44850000,0,0,20,49.0
14/12/2017,13000,170300000,13.2(0.76 %),13000,170300000,0,0,2620,49.0
15/12/2017,2600,33900000,13(-0.76 %),2600,33900000,0,0,20,49.0
18/12/2017,-1900,-24700000,13.1(0.77 %),0,0,1900,24700000,20,49.0
19/12/2017,0,0,13.1(0.77 %),0,0,0,0,20,49.0
20/12/2017,0,0,13.2(1.54 %),0,0,0,0,20,49.0
21/12/2017,1900,25270000,13.1(-0.76 %),1900,25270000,0,0,20,49.0
22/12/2017,0,0,13.1(0.00 %),0,0,0,0,20,49.0
25/12/2017,0,0,13(-0.76 %),0,0,0,0,20,49.0
26/12/2017,-1800,-23220000,13(0.00 %),0,0,1800,23220000,20,49.0
27/12/2017,0,0,12.8(-0.78 %),0,0,0,0,20,49.0
28/12/2017,0,0,12.9(0.00 %),0,0,0,0,20,49.0
29/12/2017,-8200,-105600000,12.9(0.78 %),1800,23400000,10000,129000000,20,49.0
02/01/2018,-14900,-192210000,13(0.78 %),0,0,14900,192210000,20,49.0
03/01/2018,-700,-9380000,13.5(3.85 %),0,0,700,9380000,20,49.0
04/01/2018,9990,134864000,13.6(1.49 %),10000,135000000,10,136000,20,49.0
05/01/2018,12900,175950000,13.5(0.00 %),14900,202750000,2000,26800000,20,49.0
08/01/2018,700,9450000,14.1(4.44 %),700,9450000,0,0,20,49.0
09/01/2018,-25990,-366453000,14.7(7.30 %),10,147000,26000,366600000,20,49.0
10/01/2018,2020,30300000,14.6(0.00 %),2020,30300000,0,0,20,49.0
11/01/2018,0,0,15.9(8.90 %),0,0,0,0,20,49.0
12/01/2018,25800,421250000,15.8(2.60 %),26000,424400000,200,3150000,20,49.0
15/01/2018,-50010,-785157000,15.9(-1.85 %),0,0,50010,785157000,20,49.0
16/01/2018,-1000,-15500000,15.4(-2.53 %),0,0,1000,15500000,20,49.0
17/01/2018,-200,-3180000,15.3(-1.29 %),100,1590000,300,4770000,100,49.0
18/01/2018,50100,801530000,15.7(0.64 %),50100,801530000,0,0,10,49.0
19/01/2018,-2490,-38734200,15.7(1.95 %),1010,15955800,3500,54690000,10,49.0
22/01/2018,-7700,-120090000,15.6(-0.64 %),300,4710000,8000,124800000,10,49.0
23/01/2018,-100,-1690000,17(8.28 %),0,0,100,1690000,10,49.0
24/01/2018,3500,59430000,17.4(5.45 %),3500,59430000,0,0,10,49.0
25/01/2018,-19500,-336340000,17.4(-0.57 %),508000,9141210000,527500,9477550000,10,49.0
26/01/2018,-13900,-240740000,17.2(-1.71 %),100,1740000,14000,242480000,10,49.0
29/01/2018,0,0,17.6(1.73 %),0,0,0,0,10,49.0
30/01/2018,27500,488810000,17.7(1.14 %),27500,488810000,0,0,10,49.0
31/01/2018,13000,233200000,17.6(0.00 %),14000,250800000,1000,17600000,10,49.0
01/02/2018,0,0,16(-4.19 %),0,0,0,0,10,49.0
02/02/2018,0,0,15.8(-1.86 %),0,0,0,0,10,49.0
05/02/2018,1000,16000000,14.5(-7.64 %),51000,801000000,50000,785000000,10,49.0
06/02/2018,-70,-911500,13.9(-6.71 %),0,0,70,911500,10,49.0
07/02/2018,0,0,14.9(12.03 %),74000,1095200000,74000,1095200000,10,49.0
08/02/2018,0,0,14.3(-2.05 %),0,0,0,0,10,49.0
09/02/2018,70,1162000,14.6(0.69 %),70,1162000,0,0,10,49.0
12/02/2018,0,0,15(6.38 %),0,0,0,0,10,49.0
13/02/2018,-28000,-433200000,15.6(5.41 %),0,0,28000,433200000,10,49.0
21/02/2018,-113000,-1787870000,15.7(1.95 %),0,0,113000,1787870000,10,49.0
22/02/2018,-131000,-2040130000,15.5(-1.90 %),0,0,131000,2040130000,10,49.0
23/02/2018,-51000,-783880000,15.7(0.64 %),74000,1152000000,125000,1935880000,10,49.0
26/02/2018,5000,85830000,15.6(0.00 %),113000,1806060000,108000,1720230000,10,49.0
27/02/2018,43000,718890000,15.6(-1.89 %),131000,2095190000,88000,1376300000,10,49.0
28/02/2018,79000,1224500000,15.5(-1.27 %),79000,1224500000,0,0,10,49.0
01/03/2018,108000,1653380000,15(-2.60 %),108000,1653380000,0,0,10,49.0
02/03/2018,73500,1087900000,14.9(-0.67 %),88000,1301050000,14500,213150000,10,49.0
05/03/2018,0,0,14.4(-2.70 %),0,0,0,0,10,49.0
06/03/2018,-45000,-658800000,14.9(0.68 %),0,0,45000,658800000,10,49.0
07/03/2018,14500,216050000,14.8(0.68 %),14500,216050000,0,0,10,49.0
08/03/2018,0,0,14.7(0.00 %),0,0,0,0,10,49.0
09/03/2018,45000,685870000,15.7(6.80 %),45000,685870000,0,0,10,49.0
12/03/2018,0,0,16.1(3.21 %),0,0,0,0,10,49.0
13/03/2018,0,0,16.1(-0.62 %),0,0,0,0,10,49.0
14/03/2018,0,0,16(0.63 %),0,0,0,0,10,49.0
15/03/2018,0,0,15.9(-0.62 %),0,0,0,0,10,49.0
16/03/2018,0,0,16.1(2.55 %),130000,2145000000,130000,2145000000,10,49.0
19/03/2018,0,0,15.8(-1.25 %),0,0,0,0,10,49.0
20/03/2018,3561645,58438062500,16.4(3.80 %),3588645,58894362500,27000,456300000,10,49.0
21/03/2018,0,0,16.1(-1.83 %),0,0,0,0,10,49.0
22/03/2018,0,0,15.9(-2.45 %),0,0,0,0,10,49.0
23/03/2018,27000,426270000,15.5(-3.12 %),27000,426270000,0,0,10,49.0
26/03/2018,-14874,-230000100,15.6(1.30 %),0,0,14874,230000100,10,49.0
27/03/2018,-44000,-690800000,15.5(0.00 %),0,0,44000,690800000,10,49.0
28/03/2018,-800,-12000000,15.1(-3.21 %),0,0,800,12000000,10,49.0
29/03/2018,14800,224740000,15.1(0.00 %),14800,224740000,0,0,74,49.0
30/03/2018,44000,673010000,15(-0.66 %),44000,673010000,0,0,74,49.0
02/04/2018,870,13057000,15.2(1.33 %),870,13057000,0,0,4,49.0
03/04/2018,-1600,-24160000,15.2(0.66 %),0,0,1600,24160000,4,49.0
04/04/2018,0,0,15.9(5.30 %),0,0,0,0,4,49.0
05/04/2018,0,0,16.3(3.16 %),0,0,0,0,4,49.0
06/04/2018,-76865,-1315252000,17.4(8.07 %),1600,26880000,78465,1342132000,4,49.0
09/04/2018,-20000,-352400000,18(5.26 %),0,0,20000,352400000,4,49.0
10/04/2018,-20000,-360000000,17.5(-1.13 %),0,0,20000,360000000,4,49.0
11/04/2018,50136,895970000,17(-5.03 %),78469,1386787500,28333,490817500,4,49.0
12/04/2018,-8666,-138008800,16.9(-2.31 %),20000,338860000,28666,476868800,4,49.0
13/04/2018,20000,341500000,16.8(0.60 %),20000,341500000,0,0,4,49.0
16/04/2018,27690,459469000,16.5(-2.37 %),27790,461129000,100,1660000,543,49.0
17/04/2018,29200,501880000,16.7(0.60 %),29200,501880000,0,0,9,49.0
18/04/2018,0,0,16.4(-0.61 %),0,0,0,0,9,49.0
19/04/2018,-233,-3638000,15.8(-4.82 %),100,1660000,333,5298000,9,49.0
20/04/2018,0,0,16.2(1.25 %),0,0,0,0,9,49.0
23/04/2018,-53300,-838940000,15(-6.25 %),0,0,53300,838940000,9,49.0
24/04/2018,300,4560000,15.1(-1.95 %),300,4560000,0,0,42,49.0
26/04/2018,40,604800,14.6(-2.67 %),40,604800,0,0,2,49.0
27/04/2018,24500,364150000,15(2.04 %),24500,364150000,0,0,28802,49.0
02/05/2018,1300,19300000,14.6(-2.01 %),1300,19300000,0,0,27502,49.0
03/05/2018,5000,72300000,14.3(-2.72 %),5000,72300000,0,0,22502,49.0
04/05/2018,6600,93800000,14.3(1.42 %),6600,93800000,0,0,15902,49.0
07/05/2018,0,0,14.8(3.50 %),0,0,0,0,15902,49.0
08/05/2018,15900,229560000,14.5(-0.68 %),15900,229560000,0,0,2,49.0
10/05/2018,0,0,13.8(-2.82 %),0,0,0,0,2,49.0
11/05/2018,0,0,14(0.72 %),0,0,0,0,2,49.0
14/05/2018,-32998,-455377400,14.1(2.17 %),0,0,32998,455377400,2,49.0
15/05/2018,0,0,14(0.72 %),0,0,0,0,2,49.0
16/05/2018,-2500,-34500000,13.9(-0.71 %),0,0,2500,34500000,2,49.0
17/05/2018,33000,458700000,13.7(-1.44 %),33000,458700000,0,0,2,49.0
18/05/2018,0,0,13.3(-3.62 %),0,0,0,0,2,49.0
21/05/2018,2500,33250000,12.7(-3.79 %),2500,33250000,0,0,2,49.0
22/05/2018,0,0,12(-6.98 %),0,0,0,0,2,49.0
23/05/2018,-1700,-19890000,12.2(1.67 %),0,0,1700,19890000,2,49.0
24/05/2018,0,0,12.1(0.83 %),0,0,0,0,2,49.0
25/05/2018,0,0,12(-0.83 %),0,0,0,0,2,49.0
28/05/2018,1700,20910000,11.3(-6.61 %),1700,20910000,0,0,2,49.0
29/05/2018,0,0,12.2(6.09 %),0,0,0,0,2,49.0
30/05/2018,0,0,11.8(-0.84 %),0,0,0,0,2,49.0
31/05/2018,-16600,-200860000,12.2(2.52 %),0,0,16600,200860000,2,49.0
01/06/2018,0,0,12.2(0.83 %),0,0,0,0,2,49.0
04/06/2018,0,0,12.6(3.28 %),0,0,0,0,2,49.0
05/06/2018,16600,209290000,12.8(3.23 %),16600,209290000,0,0,2,49.0
06/06/2018,0,0,13(2.36 %),0,0,0,0,2,49.0
07/06/2018,-162720,-2079666000,12.8(0.00 %),0,0,162720,2079666000,2,49.0
08/06/2018,0,0,12.6(-1.56 %),0,0,0,0,2,49.0
11/06/2018,-29450,-367435000,12.5(-0.79 %),0,0,29450,367435000,2,49.0
12/06/2018,162720,2036714000,12.2(-2.40 %),162720,2036714000,0,0,2,49.0
13/06/2018,-69,-841800,12.3(0.82 %),0,0,69,841800,2,49.0
14/06/2018,29400,361620000,12.1(-0.82 %),29400,361620000,0,0,50,49.0
15/06/2018,-40000,-480000000,12.2(0.83 %),0,0,40000,480000000,50,49.0
18/06/2018,-19900,-233980000,11.7(-2.50 %),100,1210000,20000,235190000,19,49.0
19/06/2018,0,0,11.4(-3.39 %),0,0,0,0,19,49.0
20/06/2018,510,5815000,11.7(3.54 %),510,5815000,0,0,39509,48.99
21/06/2018,59000,678300000,11.6(0.00 %),59000,678300000,0,0,509,49.0
22/06/2018,500,5700000,11.6(0.87 %),500,5700000,0,0,9,49.0
25/06/2018,0,0,11.6(0.87 %),0,0,0,0,9,49.0
26/06/2018,-90000,-1026000000,11.5(-0.86 %),0,0,90000,1026000000,9,49.0
27/06/2018,-100000,-1138800000,11.4(0.00 %),0,0,100000,1138800000,9,49.0
28/06/2018,0,0,11.2(-1.75 %),0,0,0,0,9,49.0
29/06/2018,90000,1014770000,11.2(0.00 %),90000,1014770000,0,0,9,49.0
02/07/2018,70000,777600000,11(-1.79 %),100000,1110000000,30000,332400000,9,49.0
03/07/2018,-37000,-395900000,10.5(-4.55 %),0,0,37000,395900000,9,49.0
04/07/2018,-120000,-1239990000,10.4(-2.80 %),0,0,120000,1239990000,9,49.0
05/07/2018,-7000,-40170000,9.9(-4.81 %),30000,340810000,37000,380980000,9,49.0
06/07/2018,-41300,-402480000,10.5(3.96 %),37000,375840000,78300,778320000,9,49.0
09/07/2018,-2000,11310000,10.2(0.99 %),120000,1270800000,122000,1259490000,9,49.0
10/07/2018,-44200,-445010000,10.3(0.00 %),37000,388730000,81200,833740000,9,49.0
11/07/2018,-1700,7670000,9.9(-3.88 %),78300,801330000,80000,793660000,9,49.0
12/07/2018,42000,453620000,9.9(-1.00 %),122000,1251280000,80000,797660000,9,49.0
13/07/2018,1200,27520000,10.3(1.98 %),81200,839200000,80000,811680000,9,49.0
16/07/2018,-3000,49240000,10.5(2.94 %),80000,908600000,83000,859360000,9,49.0
17/07/2018,0,30220000,10.7(1.90 %),80000,854490000,80000,824270000,9,49.0
18/07/2018,80000,858800000,11(4.76 %),130000,1403800000,50000,545000000,9,49.0
19/07/2018,83000,913000000,10.8(0.00 %),83000,913000000,0,0,9,49.0
20/07/2018,80000,869490000,10.8(0.00 %),80000,869490000,0,0,9,49.0
23/07/2018,0,0,9.7(-9.35 %),0,0,0,0,9,49.0
24/07/2018,-30000,-294000000,9.8(-2.00 %),0,0,30000,294000000,9,49.0
25/07/2018,-1000,-9800000,10.2(4.08 %),0,0,1000,9800000,9,49.0
26/07/2018,0,0,10(-0.99 %),0,0,0,0,9,49.0
27/07/2018,30000,299970000,10(1.01 %),30000,299970000,0,0,9,49.0
30/07/2018,1000,10000000,10.1(1.00 %),1000,10000000,0,0,9,49.0
31/07/2018,0,0,9.9(-1.00 %),0,0,0,0,9,30.0
01/08/2018,0,0,9.7(-3.00 %),0,0,0,0,9,49.0
02/08/2018,-400000,-3723200000,9.5(-2.06 %),0,0,400000,3723200000,9,49.0
03/08/2018,-57500,-538940000,9.4(1.08 %),232500,2325000000,290000,2863940000,9,49.0
06/08/2018,0,0,9.3(-1.06 %),0,0,0,0,9,49.0
07/08/2018,400000,3738350000,9.2(0.00 %),400000,3738350000,0,0,9,49.0
08/08/2018,57500,534750000,9.6(3.23 %),57500,534750000,0,0,9,49.0
09/08/2018,-16000,-151840000,9.5(1.06 %),0,0,16000,151840000,9,49.0
10/08/2018,0,0,9.6(1.05 %),0,0,0,0,9,49.0
13/08/2018,-5000,-48000000,9.7(2.11 %),0,0,5000,48000000,9,49.0
14/08/2018,10450,102275000,9.7(1.04 %),16000,155700000,5550,53425000,9,49.0
15/08/2018,-172700,-1640650000,9.4(-3.09 %),0,0,172700,1640650000,172709,29.98
16/08/2018,5000,47000000,9.4(-1.05 %),107200,1017900000,102200,970900000,9,49.0
17/08/2018,-114450,-1071800000,9.4(1.08 %),5550,52700000,120000,1124500000,114459,29.98
20/08/2018,52700,501380000,9.4(0.00 %),3672700,34523380000,3620000,34022000000,9,49.0
21/08/2018,0,0,9.3(-1.06 %),0,0,0,0,9,49.0
22/08/2018,0,0,9.5(2.15 %),0,0,0,0,120009,48.98
23/08/2018,14100,133900000,9.5(0.00 %),3514100,33243900000,3500000,33110000000,225909,48.97
24/08/2018,225900,2123460000,9.5(1.06 %),225900,2123460000,0,0,9,49.0
27/08/2018,-1800,-16740000,9.4(0.00 %),0,0,1800,16740000,9,49.0
28/08/2018,-9300,-86580000,9.3(-1.06 %),0,0,9300,86580000,9,49.0
29/08/2018,-40066,-372613800,9.2(-2.13 %),0,0,40066,372613800,9,49.0
30/08/2018,-28200,-262260000,9.4(1.08 %),1800,16740000,30000,279000000,9,49.0
31/08/2018,-10700,-98580000,9.3(0.00 %),9300,87420000,20000,186000000,9,49.0
04/09/2018,0,0,9.3(0.00 %),0,0,0,0,40075,48.99
05/09/2018,70000,651000000,9.2(0.00 %),70000,651000000,0,0,75,49.0
06/09/2018,20000,184000000,9.1(-1.09 %),20000,184000000,0,0,75,49.0
07/09/2018,0,0,9(-1.10 %),0,0,0,0,75,49.0
12/09/2018,-314000,-2825620000,9(1.12 %),0,0,314000,2825620000,75,49.0
13/09/2018,-46000,-414000000,9(0.00 %),0,0,46000,414000000,0,0.0
14/09/2018,-254980,-2295912000,9.1(1.11 %),1000,9000000,255980,2304912000,261295,48.97
17/09/2018,0,0,9(-1.10 %),0,0,0,0,575295,48.92
18/09/2018,-196100,-1756470000,9.1(1.11 %),4200,38200000,200300,1794670000,617095,48.92
19/09/2018,-69700,-647180000,9.5(5.56 %),300,2820000,70000,650000000,872775,48.88
20/09/2018,143167,1360243100,9.6(2.13 %),151500,1439400000,8333,79156900,721275,48.9
21/09/2018,656900,6419980000,10.3(8.42 %),726900,7133980000,70000,714000000,64375,29.99
24/09/2018,-2900,-29060000,10.1(0.00 %),2100,21440000,5000,50500000,262575,48.96
25/09/2018,7200,72020000,10.1(0.00 %),7200,72020000,0,0,263708,48.96
26/09/2018,69115,691574000,10.1(0.00 %),79615,796574000,10500,105000000,254093,48.97
27/09/2018,0,0,10.1(0.00 %),0,0,0,0,259093,48.97
28/09/2018,-227900,-2386480000,10.4(1.96 %),100,1060000,228000,2387540000,486993,29.94
01/10/2018,-311500,-3391200000,10.7(2.88 %),200000,2178000000,511500,5569200000,69493,29.99
02/10/2018,-95915,-1026520500,10.6(-1.85 %),2300,24380000,98215,1050900500,165408,29.98
03/10/2018,4200,44500000,10.5(-0.94 %),4200,44500000,0,0,161208,29.98
04/10/2018,0,0,10.6(0.95 %),0,0,0,0,802493,48.89
05/10/2018,100,1060000,10.4(-0.95 %),100,1060000,0,0,900608,48.88
08/10/2018,0,0,10.3(-0.96 %),0,0,0,0,900608,29.88
09/10/2018,0,0,10.2(0.00 %),0,0,0,0,900608,48.88
10/10/2018,-67000,-672200000,10(-1.96 %),0,0,67000,672200000,900608,48.88
11/10/2018,-190265,-1783584500,9.3(-7.00 %),1000,9100000,191265,1792684500,899608,48.88
12/10/2018,-82732,-780170800,9.6(2.13 %),600,5660000,83332,785830800,899008,48.88
15/10/2018,966000,9304950000,9.5(1.06 %),1129500,10841850000,163500,1536900000,8,49.0
16/10/2018,155000,1488000000,9.7(1.04 %),155000,1488000000,0,0,36273,49.0
17/10/2018,91700,899390000,9.7(1.04 %),100700,988490000,9000,89100000,18905,49.0
18/10/2018,15300,145850000,9.5(-3.06 %),15300,145850000,0,0,3605,49.0
19/10/2018,0,0,9.5(-1.04 %),0,0,0,0,3605,49.0
22/10/2018,0,0,9.4(-1.05 %),0,0,0,0,12605,49.0
23/10/2018,0,0,9.3(-2.11 %),0,0,0,0,12605,49.0
24/10/2018,-59600,-542340000,9.2(0.00 %),8000,74400000,67600,616740000,4605,49.0
25/10/2018,-600,-5400000,9.1(-1.09 %),0,0,600,5400000,4605,49.0
26/10/2018,0,0,9.3(2.20 %),0,0,0,0,4605,49.0
29/10/2018,70000,560000000,9.2(-1.08 %),70000,560000000,0,0,2205,49.0
30/10/2018,-219500,-2016180000,9.1(-1.09 %),0,0,219500,2016180000,2805,49.0
31/10/2018,0,0,9.4(2.17 %),0,0,0,0,2805,49.0
01/11/2018,-250000,-2306000000,9.2(-1.08 %),0,0,250000,2306000000,2805,49.0
02/11/2018,-50000,-451960000,9.2(0.00 %),200000,1848040000,250000,2300000000,22305,49.0
05/11/2018,0,0,9.2(0.00 %),0,0,0,0,22305,49.0
06/11/2018,0,0,9.2(0.00 %),0,0,0,0,272305,48.96
07/11/2018,0,0,9.2(0.00 %),0,0,0,0,522305,48.93
08/11/2018,0,0,9.3(1.09 %),1136500,10569450000,1136500,10569450000,522305,48.93
09/11/2018,0,0,9.2(0.00 %),0,0,0,0,522305,48.93
12/11/2018,214410,1951541000,9.2(0.00 %),214410,1951541000,0,0,307895,48.96
13/11/2018,1000,9000000,8.9(-2.20 %),1000,9000000,0,0,306895,48.96
14/11/2018,1000,8900000,9(0.00 %),1000,8900000,0,0,305895,48.96
15/11/2018,0,0,9(1.12 %),0,0,0,0,305895,48.96
16/11/2018,0,0,9(0.00 %),0,0,0,0,305895,48.96
19/11/2018,51500,468650000,9.2(2.22 %),71400,649740000,19900,181090000,234495,48.97
20/11/2018,0,0,9.2(1.10 %),0,0,0,0,234495,48.97
21/11/2018,0,0,9.1(0.00 %),0,0,0,0,234495,48.97
22/11/2018,19967,187686500,9.5(4.40 %),20000,188000000,33,313500,234395,48.97
23/11/2018,0,0,9.5(1.06 %),0,0,0,0,234395,48.97
26/11/2018,150000,1410000000,9.4(-1.05 %),150000,1410000000,0,0,84395,48.99
27/11/2018,0,0,9.2(-2.13 %),0,0,0,0,84428,48.99
28/11/2018,20000,187000000,9.3(0.00 %),20000,187000000,0,0,64428,48.99
29/11/2018,-24999,-232490700,9.4(1.08 %),0,0,24999,232490700,64428,48.99
30/11/2018,0,0,9.5(1.06 %),0,0,0,0,64428,29.99
03/12/2018,27200,263990000,9.7(3.19 %),27200,263990000,0,0,37228,49.0
04/12/2018,-15000,-146360000,9.9(2.06 %),0,0,15000,146360000,62227,48.99
05/12/2018,0,0,9.8(0.00 %),0,0,0,0,62227,48.99
06/12/2018,-22000,-215600000,9.9(1.02 %),0,0,22000,215600000,62227,48.99
07/12/2018,23880,244704900,10(1.01 %),77200,772830000,53320,528125100,27,49.0
10/12/2018,0,0,9.9(-1.00 %),0,0,0,0,27,49.0
11/12/2018,-177733,-1735458400,9.8(-1.01 %),22000,220000000,199733,1955458400,27,49.0
12/12/2018,-283004,-2763259200,9.9(0.00 %),53300,532520000,336304,3295779200,47,49.0
13/12/2018,0,0,9.7(-1.02 %),0,0,0,0,47,49.0
14/12/2018,163060,1608682000,9.7(0.00 %),199700,1961740000,36640,353058000,80,49.0
17/12/2018,291994,2863591800,9.6(-1.03 %),336300,3295010000,44306,431418200,84,49.0
18/12/2018,-9533,-89613500,9.5(-2.06 %),0,0,9533,89613500,84,49.0
19/12/2018,36700,353680000,9.5(0.00 %),36700,353680000,0,0,24,49.0
20/12/2018,43800,424800000,9.5(0.00 %),44300,429550000,500,4750000,30,49.0
21/12/2018,2800,26320000,9.5(0.00 %),2800,26320000,0,0,6763,49.0
24/12/2018,-79071,-742467400,9.3(-1.06 %),0,0,79071,742467400,6763,49.0
25/12/2018,-13900,-125300000,9.2(-2.13 %),1000,9100000,14900,134400000,6263,49.0
26/12/2018,1000,9100000,9.5(4.40 %),1000,9100000,0,0,5263,49.0
27/12/2018,-19200,-176720000,9.2(3.37 %),800,7280000,20000,184000000,83534,48.99
28/12/2018,21000,195400000,9.2(1.10 %),21000,195400000,0,0,77434,48.99
02/01/2019,0,0,9.1(-4.21 %),0,0,0,0,77434,48.99
03/01/2019,-703400,-6208850000,8.9(-2.20 %),0,0,703400,6208850000,780834,29.9
04/01/2019,-124400,-1077900000,8.8(-1.12 %),97400,855710000,221800,1933610000,905234,29.88
07/01/2019,-124000,-1083531400,8.7(0.00 %),0,0,124000,1083531400,1029234,29.86
08/01/2019,235934,2091609200,8.9(2.30 %),252600,2238270000,16666,146660800,793300,29.89
10/01/2019,0,0,8.8(-1.12 %),0,0,0,0,793300,29.89
11/01/2019,0,0,8.8(-1.12 %),0,0,0,0,793300,29.89
14/01/2019,0,0,8.7(-1.14 %),0,0,0,0,793300,0.0
15/01/2019,-123000,-1068240000,8.8(0.00 %),7000,60900000,130000,1129140000,916300,0.0
16/01/2019,-139500,-1199700000,8.6(-1.15 %),500,4300000,140000,1204000000,1055800,0.0
17/01/2019,2000,17200000,8.5(-1.16 %),2000,17200000,0,0,1053800,0.0
18/01/2019,-100000,-845610000,8.5(-1.16 %),0,0,100000,845610000,1153800,0.0
21/01/2019,-180000,-1530000000,8.6(1.18 %),0,0,180000,1530000000,1333800,0.0
22/01/2019,-153900,-1308540000,8.6(1.18 %),0,0,153900,1308540000,1487700,0.0
24/01/2019,-100000,-860000000,8.6(1.18 %),0,0,100000,860000000,1587700,0.0
25/01/2019,-100000,-856370000,8.6(0.00 %),0,0,100000,856370000,1687700,0.0
28/01/2019,-100000,-850200000,8.5(-1.16 %),0,0,100000,850200000,1787700,0.0
29/01/2019,-30000,-255000000,8.6(1.18 %),0,0,30000,255000000,1817700,0.0
30/01/2019,0,0,8.6(1.18 %),0,0,0,0,1817700,0.0
31/01/2019,-160000,-1385500000,8.6(-1.15 %),10000,86000000,170000,1471500000,1977700,0.0
01/02/2019,-152000,-1307200000,8.6(-1.15 %),30000,258000000,182000,1565200000,1797700,0.0
11/02/2019,-11334,-99239200,8.9(3.49 %),66,580800,11400,99820000,1809034,0.0
12/02/2019,259600,2330900000,9.1(3.41 %),259600,2330900000,0,0,1549434,0.06
13/02/2019,121935,1097441500,9(0.00 %),172000,1548000000,50065,450558500,1427499,0.06
