Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
13/02/2020,0,0,0(0.00 %),0,0,0,0,16056661,27.59
14/02/2020,-1900,-54815000,0(0.00 %),0,0,1900,54815000,16053371,27.6
17/02/2020,-50,-1450000,0(0.00 %),0,0,50,1450000,16056661,27.59
18/02/2020,0,0,0(0.00 %),0,0,0,0,16056661,27.59
19/02/2020,0,0,0(0.00 %),0,0,0,0,16058561,27.59
20/02/2020,0,0,0(0.00 %),0,0,0,0,16058611,27.59
21/02/2020,0,0,28.8(0.00 %),0,0,0,0,16058611,27.59
24/02/2020,0,0,28.7(-0.35 %),0,0,0,0,16058611,27.59
25/02/2020,0,0,28.75(0.17 %),0,0,0,0,16058611,27.59
26/02/2020,0,0,28.55(-0.70 %),0,0,0,0,16053421,27.6
27/02/2020,0,0,28.35(-0.70 %),0,0,0,0,16053421,27.6
28/02/2020,0,0,27.45(-3.17 %),0,0,0,0,16053421,27.6
02/03/2020,0,0,27.7(0.91 %),0,0,0,0,16058611,27.59
03/03/2020,0,0,27.95(0.90 %),0,0,0,0,16058611,27.59
04/03/2020,0,0,28(0.18 %),0,0,0,0,16058611,27.59
05/03/2020,0,0,27.85(-0.54 %),0,0,0,0,16058611,27.59
06/03/2020,0,0,27.8(-0.18 %),0,0,0,0,16058611,27.59
09/03/2020,0,0,27.05(-2.70 %),0,0,0,0,16058611,27.59
10/03/2020,0,0,27.1(0.18 %),0,0,0,0,16058611,27.59
11/03/2020,0,0,26.55(-2.03 %),0,0,0,0,16058611,27.59
12/03/2020,0,0,26.5(-0.19 %),0,0,0,0,16058611,27.59
13/03/2020,0,0,26.6(0.38 %),0,0,0,0,16058611,27.59
16/03/2020,-150000,-4050000000,26.6(0.00 %),0,0,150000,4050000000,16208611,27.39
17/03/2020,0,0,26.25(-1.32 %),0,0,0,0,16208611,27.39
18/03/2020,0,0,26.2(-0.19 %),0,0,0,0,16208611,27.39
19/03/2020,0,0,26.1(-0.38 %),0,0,0,0,16208611,27.39
20/03/2020,0,0,26.45(1.34 %),0,0,0,0,16208611,27.39
23/03/2020,0,0,26.1(-1.32 %),0,0,0,0,16208611,27.39
24/03/2020,-400000,-10443600000,26.5(1.53 %),0,0,400000,10443600000,16608611,26.86
25/03/2020,0,0,27.2(2.64 %),0,0,0,0,16608611,26.86
26/03/2020,0,0,27.2(0.00 %),0,0,0,0,16608611,26.86
27/03/2020,379000,20090411000,26.85(-1.29 %),379000,20090411000,0,0,16229611,27.36
30/03/2020,1000,26600000,26.35(-1.86 %),1000,26600000,0,0,16228611,27.36
31/03/2020,0,0,26.3(-0.19 %),0,0,0,0,16228611,27.36
01/04/2020,0,0,26.5(0.76 %),0,0,0,0,16228611,27.36
03/04/2020,0,0,28(5.66 %),0,0,0,0,16228611,27.36
06/04/2020,0,0,28.2(0.71 %),0,0,0,0,16228611,27.36
07/04/2020,0,0,28.4(0.71 %),0,0,0,0,16228611,27.36
08/04/2020,0,0,28.65(0.88 %),0,0,0,0,16228611,27.36
09/04/2020,0,0,28.5(-0.52 %),0,0,0,0,16228611,27.36
10/04/2020,0,0,28.3(-0.70 %),0,0,0,0,16228611,27.36
13/04/2020,500,14050000,29.5(4.24 %),500,14050000,0,0,16228111,27.36
14/04/2020,0,0,29(-1.69 %),0,0,0,0,16228111,27.36
15/04/2020,0,0,28.8(-0.69 %),0,0,0,0,16228111,27.36
16/04/2020,0,0,27.9(-3.12 %),0,0,0,0,16228111,27.36
17/04/2020,0,0,28.2(1.08 %),0,0,0,0,16228111,27.36
20/04/2020,0,0,28.05(-0.53 %),0,0,0,0,16228111,27.36
21/04/2020,0,0,27.6(-1.60 %),0,0,0,0,16228111,27.36
22/04/2020,0,0,27.4(-0.72 %),0,0,0,0,16228111,27.36
23/04/2020,0,0,27.2(-0.73 %),0,0,0,0,16228111,27.36
24/04/2020,0,0,26.7(-1.84 %),0,0,0,0,16228111,27.36
27/04/2020,0,0,26.5(-0.75 %),0,0,0,0,16228111,27.36
28/04/2020,0,0,26.35(-0.57 %),0,0,0,0,16228111,27.36
29/04/2020,0,0,27.8(5.50 %),0,0,0,0,16228111,27.36
04/05/2020,2200,60060000,27.3(-1.80 %),2200,60060000,0,0,16225911,27.37
05/05/2020,0,0,27.3(0.00 %),0,0,0,0,16228111,27.36
06/05/2020,0,0,27.1(-0.73 %),0,0,0,0,16228111,27.36
07/05/2020,0,0,27.1(0.00 %),0,0,0,0,16228111,27.36
08/05/2020,0,0,27.15(0.18 %),0,0,0,0,16225911,27.37
11/05/2020,0,0,27.4(0.92 %),0,0,0,0,16228111,27.36
12/05/2020,0,0,27.4(0.00 %),0,0,0,0,16228111,27.36
13/05/2020,0,0,27.3(-0.36 %),0,0,0,0,16228111,27.36
14/05/2020,0,0,27.3(0.00 %),0,0,0,0,16225911,27.37
15/05/2020,0,0,27.35(0.18 %),0,0,0,0,16228111,27.36
18/05/2020,0,0,27.35(0.00 %),0,0,0,0,16228111,27.36
19/05/2020,0,0,27.4(0.18 %),0,0,0,0,16228111,27.36
20/05/2020,0,0,27.4(0.00 %),0,0,0,0,16225911,27.37
21/05/2020,0,0,27.5(0.36 %),0,0,0,0,16225911,27.37
22/05/2020,0,0,27.2(-1.09 %),0,0,0,0,16225911,27.37
25/05/2020,0,0,27.2(0.00 %),0,0,0,0,16225911,27.37
26/05/2020,0,0,27.3(0.37 %),0,0,0,0,16228111,27.36
27/05/2020,0,0,27.1(-0.73 %),0,0,0,0,16228111,27.36
28/05/2020,0,0,27.25(0.55 %),0,0,0,0,16225911,27.37
29/05/2020,0,0,27.2(-0.18 %),0,0,0,0,16225911,27.37
01/06/2020,0,0,27.2(0.00 %),0,0,0,0,16225911,27.37
02/06/2020,0,0,27.1(-0.37 %),0,0,0,0,16225911,27.37
03/06/2020,0,0,27.1(0.00 %),0,0,0,0,16225911,27.37
04/06/2020,0,0,27.1(0.00 %),0,0,0,0,16225911,27.37
05/06/2020,0,0,27.2(0.37 %),0,0,0,0,16225911,27.37
08/06/2020,0,0,27.5(1.10 %),0,0,0,0,16225911,27.37
09/06/2020,0,0,27.3(-0.73 %),0,0,0,0,16225911,27.37
10/06/2020,0,0,27.3(0.00 %),0,0,0,0,16225911,27.37
11/06/2020,0,0,27.1(-0.73 %),0,0,0,0,16225911,27.37
12/06/2020,0,0,27.1(0.00 %),0,0,0,0,16225911,27.37
15/06/2020,0,0,26.9(-0.74 %),0,0,0,0,16225911,27.37
16/06/2020,0,0,27.1(0.74 %),0,0,0,0,16225911,27.37
17/06/2020,0,0,27.1(0.00 %),0,0,0,0,16225911,27.37
18/06/2020,0,0,27.1(0.00 %),0,0,0,0,16225911,27.37
19/06/2020,0,0,27.4(1.11 %),0,0,0,0,16225911,27.37
22/06/2020,0,0,27.4(0.00 %),0,0,0,0,16225911,27.37
23/06/2020,0,0,27.45(0.18 %),0,0,0,0,16225911,27.37
24/06/2020,0,0,28.1(2.37 %),0,0,0,0,16225911,27.37
25/06/2020,0,0,27.8(-1.07 %),0,0,0,0,16225911,27.37
26/06/2020,0,0,27.8(0.00 %),0,0,0,0,16225911,27.37
29/06/2020,0,0,27.2(-2.16 %),0,0,0,0,16225911,27.37
30/06/2020,0,0,27.2(0.00 %),0,0,0,0,16225911,27.37
01/07/2020,0,0,27.3(0.37 %),0,0,0,0,16225911,27.37
02/07/2020,-50000,-1354805000,27.2(-0.37 %),0,0,50000,1354805000,16275911,27.3
03/07/2020,0,0,26.9(-1.10 %),0,0,0,0,16275911,27.3
06/07/2020,0,0,27(0.37 %),0,0,0,0,16275911,27.3
07/07/2020,-52200,-1391320000,26.6(-1.48 %),0,0,52200,1391320000,16328111,27.23
08/07/2020,0,0,26.5(-0.38 %),0,0,0,0,16275911,27.3
09/07/2020,0,0,26.7(0.75 %),0,0,0,0,16328111,27.23
10/07/2020,-20850,-552534000,26.5(-0.75 %),0,0,20850,552534000,16348961,27.2
13/07/2020,-20180,-533788000,26.4(-0.38 %),0,0,20180,533788000,16369141,27.17
14/07/2020,-45000,-1192500000,26.4(0.00 %),0,0,45000,1192500000,16328111,27.23
15/07/2020,-7360,-196510000,26.6(0.76 %),0,0,7360,196510000,16348961,27.2
16/07/2020,0,0,26.7(0.38 %),0,0,0,0,16421501,27.1
17/07/2020,-100000,-2630996500,26.6(-0.37 %),0,0,100000,2630996500,16521501,26.97
20/07/2020,0,0,26.5(-0.38 %),0,0,0,0,16421501,27.1
21/07/2020,0,0,26.65(0.57 %),0,0,0,0,16521501,26.97
22/07/2020,0,0,26.8(0.56 %),0,0,0,0,16521501,26.97
23/07/2020,-1000,-26900000,26.9(0.37 %),0,0,1000,26900000,16522501,26.97
24/07/2020,0,0,26.5(-1.49 %),0,0,0,0,16522501,26.97
27/07/2020,0,0,26(-1.89 %),0,0,0,0,16522501,26.97
28/07/2020,0,0,26.3(1.15 %),0,0,0,0,16522501,26.97
29/07/2020,-5000,-134000000,26.8(1.90 %),0,0,5000,134000000,16522501,26.97
30/07/2020,-5000,-134000000,26.3(-1.87 %),0,0,5000,134000000,16532501,26.96
31/07/2020,0,0,26.4(0.38 %),0,0,0,0,16532501,26.96
03/08/2020,0,0,26.5(0.38 %),0,0,0,0,16527501,26.96
04/08/2020,0,0,26.5(0.00 %),0,0,0,0,16527501,26.96
05/08/2020,0,0,26.7(0.75 %),0,0,0,0,16527501,26.96
06/08/2020,-1300000,-32500000000,26.8(0.37 %),0,0,1300000,32500000000,17827501,25.23
07/08/2020,-6000,-161100000,26.85(0.19 %),0,0,6000,161100000,17833501,25.22
10/08/2020,-1678684,-42009100000,26.5(-1.30 %),0,0,1678684,42009100000,19512185,22.98
11/08/2020,0,0,27.4(3.40 %),0,0,0,0,19512185,22.98
12/08/2020,-3000,-83800000,28.1(2.55 %),0,0,3000,83800000,19515185,22.98
13/08/2020,-3000,-85800000,28.6(1.78 %),0,0,3000,85800000,22962185,18.38
14/08/2020,600,17040000,28.5(-0.35 %),600,17040000,0,0,19517585,22.98
17/08/2020,0,0,28.4(-0.35 %),0,0,0,0,22964585,18.38
18/08/2020,-4000,-114000000,28.5(0.35 %),0,0,4000,114000000,19521585,22.97
19/08/2020,0,0,28.2(-1.05 %),0,0,0,0,19521585,22.97
20/08/2020,0,0,28.05(-0.53 %),0,0,0,0,19521585,22.97
21/08/2020,0,0,28.3(0.89 %),0,0,0,0,19521585,22.97
24/08/2020,600,17130000,28.45(0.53 %),600,17130000,0,0,22970985,18.37
25/08/2020,0,0,28.25(-0.70 %),0,0,0,0,22970985,18.37
26/08/2020,0,0,28.3(0.18 %),0,0,0,0,22970985,18.37
27/08/2020,0,0,27.15(-4.06 %),0,0,0,0,22970985,18.37
28/08/2020,0,0,28.15(3.68 %),0,0,0,0,22970985,18.37
31/08/2020,-600,-16770000,27.85(-1.07 %),0,0,600,16770000,22970985,18.37
01/09/2020,0,0,28.45(2.15 %),0,0,0,0,22970985,18.37
03/09/2020,0,0,28.05(-1.41 %),0,0,0,0,22970985,18.37
04/09/2020,0,0,28.25(0.71 %),0,0,0,0,22970985,18.37
07/09/2020,0,0,28.4(0.53 %),0,0,0,0,22971585,18.37
08/09/2020,0,0,28.65(0.88 %),0,0,0,0,22971585,18.37
09/09/2020,0,0,29.5(2.97 %),0,0,0,0,22970985,18.37
10/09/2020,0,0,29.75(0.85 %),0,0,0,0,22970985,18.37
11/09/2020,0,0,29.6(-0.50 %),0,0,0,0,22971585,18.37
14/09/2020,550,16555000,30.05(1.52 %),550,16555000,0,0,22970435,18.37
15/09/2020,0,0,29.8(-0.83 %),0,0,0,0,22971035,18.37
16/09/2020,0,0,29.65(-0.50 %),0,0,0,0,22970435,18.37
17/09/2020,0,0,29.25(-1.35 %),0,0,0,0,22971035,18.37
18/09/2020,-6000,-176700000,29.5(0.85 %),0,0,6000,176700000,25264469,18.37
21/09/2020,0,0,29.5(0.00 %),0,0,0,0,25264469,18.37
22/09/2020,0,0,29.55(0.17 %),0,0,0,0,22976435,18.36
23/09/2020,0,0,29.8(0.85 %),0,0,0,0,22976435,21.15
24/09/2020,0,0,29.6(-0.67 %),0,0,0,0,22976435,21.15
25/09/2020,-23980,-715260000,29.75(0.51 %),20,590000,24000,715850000,25270449,18.37
28/09/2020,0,0,29.7(-0.17 %),0,0,0,0,23000415,21.12
29/09/2020,0,0,29.5(-0.67 %),0,0,0,0,23000415,21.12
30/09/2020,-30000,-880000000,29.45(-0.17 %),0,0,30000,880000000,23030415,21.08
01/10/2020,-27000,-806660000,30.7(4.24 %),0,0,27000,806660000,25294449,18.34
02/10/2020,0,0,30.05(-2.12 %),0,0,0,0,25294449,18.34
05/10/2020,0,0,30.35(1.00 %),0,0,0,0,25324449,18.3
06/10/2020,-13000,-395200000,30.45(0.33 %),0,0,13000,395200000,25351449,18.27
07/10/2020,0,0,30.25(-0.66 %),0,0,0,0,25307449,18.32
08/10/2020,-800000,-23200000000,30.35(0.33 %),0,0,800000,23200000000,25351449,18.27
09/10/2020,0,0,30.35(0.00 %),0,0,0,0,25364449,18.25
12/10/2020,-800000,-23200000000,30(-1.15 %),0,0,800000,23200000000,26107449,17.35
13/10/2020,0,0,30.2(0.67 %),0,0,0,0,26164449,17.28
14/10/2020,-1500000,-44250000000,30(-0.66 %),0,0,1500000,44250000000,26164449,17.28
15/10/2020,100,2970000,29.9(-0.33 %),100,2970000,0,0,26743395,16.58
16/10/2020,0,0,29.5(-1.34 %),0,0,0,0,26743395,16.58
19/10/2020,0,0,29.3(-0.68 %),0,0,0,0,27607349,15.53
20/10/2020,0,0,29.2(-0.34 %),0,0,0,0,27607349,15.53
21/10/2020,-150,-4390000,29.2(0.00 %),0,0,150,4390000,28243395,14.76
22/10/2020,0,0,29.3(0.34 %),0,0,0,0,27607499,15.53
23/10/2020,0,0,29.3(0.00 %),0,0,0,0,28243395,14.76
26/10/2020,0,0,29(-1.02 %),0,0,0,0,27607499,15.53
27/10/2020,0,0,28.7(-1.03 %),0,0,0,0,27607499,15.53
28/10/2020,100,2820000,28.2(-1.74 %),100,2820000,0,0,28243445,14.76
29/10/2020,0,0,28(-0.71 %),0,0,0,0,28243445,14.76
30/10/2020,0,0,28.1(0.36 %),0,0,0,0,28243445,14.76
02/11/2020,0,0,28.25(0.53 %),0,0,0,0,28243445,14.76
03/11/2020,0,0,29.3(3.72 %),0,0,0,0,28243445,14.76
04/11/2020,0,0,29.45(0.51 %),0,0,0,0,28243445,14.76
05/11/2020,0,0,29.4(-0.17 %),0,0,0,0,28243445,14.76
06/11/2020,0,0,29.2(-0.68 %),0,0,0,0,28243445,14.76
09/11/2020,0,0,29.6(1.37 %),0,0,0,0,28243445,14.76
10/11/2020,0,0,29.5(-0.34 %),0,0,0,0,28243445,14.76
11/11/2020,0,0,29.3(-0.68 %),0,0,0,0,28243445,14.76
12/11/2020,0,0,29.1(-0.68 %),0,0,0,0,28243445,14.76
13/11/2020,0,0,29.1(0.00 %),0,0,0,0,28243445,14.76
16/11/2020,0,0,28.8(-1.03 %),0,0,0,0,28243445,14.76
17/11/2020,0,0,29(0.69 %),0,0,0,0,28243445,14.76
18/11/2020,0,0,28.8(-0.69 %),0,0,0,0,28243445,14.76
19/11/2020,0,0,28.5(-1.04 %),0,0,0,0,28243445,14.76
20/11/2020,0,0,28.6(0.35 %),0,0,0,0,28243445,14.76
23/11/2020,0,0,28.7(0.35 %),0,0,0,0,28243445,14.76
24/11/2020,0,0,0(0.00 %),0,0,0,0,28243445,14.76
25/11/2020,0,0,28.6(0.00 %),0,0,0,0,28243445,14.76
26/11/2020,200,5740000,29.1(1.75 %),200,5740000,0,0,28243245,14.76
27/11/2020,0,0,29.7(2.06 %),0,0,0,0,28243245,14.76
30/11/2020,1010,30504000,30.3(2.02 %),1010,30504000,0,0,28242235,14.76
01/12/2020,-100,-3040000,30.45(0.50 %),0,0,100,3040000,28242235,14.76
02/12/2020,0,0,30.8(1.15 %),0,0,0,0,28242235,14.76
03/12/2020,-50,-1530000,30.8(0.00 %),0,0,50,1530000,28242235,14.76
04/12/2020,0,0,30.35(-1.46 %),0,0,0,0,28242335,14.76
07/12/2020,0,0,30.6(0.82 %),0,0,0,0,28242285,14.76
08/12/2020,200,59600000,30.3(-0.98 %),200,59600000,0,0,28240385,14.77
09/12/2020,-660,-19640000,30.4(0.33 %),0,0,660,19640000,28240385,14.77
10/12/2020,1000,29400000,29.65(-2.47 %),1000,29400000,0,0,28239385,14.77
11/12/2020,0,0,29.5(-0.51 %),0,0,0,0,28239385,14.77
14/12/2020,0,0,29.6(0.34 %),0,0,0,0,28239945,14.77
15/12/2020,0,0,29.8(0.68 %),0,0,0,0,28240045,14.77
16/12/2020,-800,-24850000,31.2(4.70 %),200,6150000,1000,31000000,28240745,14.77
17/12/2020,100,30900000,30.9(-0.96 %),100,30900000,0,0,28238845,14.77
18/12/2020,0,0,31.05(0.49 %),0,0,0,0,28238845,14.77
21/12/2020,0,0,30.2(-2.74 %),0,0,0,0,28239845,14.77
22/12/2020,0,0,29.5(-2.32 %),0,0,0,0,28239745,14.77
23/12/2020,0,0,29.5(0.00 %),0,0,0,0,28239845,14.77
24/12/2020,0,0,28.2(-4.41 %),0,0,0,0,28239845,14.77
25/12/2020,0,0,29.25(3.72 %),0,0,0,0,28239845,14.77
28/12/2020,-200,-5760000,28.8(-1.54 %),0,0,200,5760000,28239945,14.77
29/12/2020,0,0,28.55(-0.87 %),0,0,0,0,28239845,14.77
30/12/2020,0,0,28.25(-1.05 %),0,0,0,0,28239845,14.77
31/12/2020,0,0,28.7(1.59 %),0,0,0,0,28240045,14.77
04/01/2021,4480,1299380000,29.1(1.39 %),4480,1299380000,0,0,28195245,14.82
05/01/2021,0,0,29.2(0.34 %),0,0,0,0,28195245,14.82
06/01/2021,0,0,29.45(0.86 %),0,0,0,0,28195245,14.82
07/01/2021,0,0,29.95(1.70 %),0,0,0,0,28195245,14.82
08/01/2021,-980,-292980000,29.85(-0.33 %),20,6020000,1000,299000000,28195045,14.82
