Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
06/01/2023,7.38,9.6,-6.4(-40.00 %),307500,3082360000,0,0,22.4,22.4,9.6
09/01/2023,6.92,9.0,-1(-10.00 %),24000,210770000,0,0,8.6,9.9,8.5
10/01/2023,7.77,10.1,1.3(14.77 %),325400,3282250000,0,0,10.0,10.1,10.0
11/01/2023,8.92,11.6,1.5(14.85 %),117100,1357890000,0,0,11.2,11.6,11.2
12/01/2023,8.77,11.4,-0.2(-1.72 %),205600,2448359000,0,0,13.0,13.3,10.2
13/01/2023,7.85,10.2,-1.7(-14.29 %),151308,1578018000,0,0,11.8,11.9,10.2
16/01/2023,7.31,9.5,-0.9(-8.65 %),75120,684510000,0,0,10.0,10.0,8.9
17/01/2023,7.54,9.8,0.7(7.69 %),51147,495906800,0,0,9.8,10.0,9.4
18/01/2023,7.54,9.8,0.1(1.03 %),25600,246110000,0,0,9.8,9.9,9.3
19/01/2023,7.46,9.7,0.1(1.04 %),58310,543556000,0,0,9.6,9.8,9.0
27/01/2023,7.31,9.5,0.2(2.15 %),21320,198412500,0,0,9.7,9.7,9.2
30/01/2023,6.85,8.9,-0.4(-4.30 %),54000,486310000,0,0,9.0,9.4,8.7
31/01/2023,6.92,9.0,0(0.00 %),29800,266500000,0,0,9.0,9.2,8.7
01/02/2023,6.69,8.7,-0.2(-2.25 %),67200,591410000,0,0,9.1,9.1,8.7
02/02/2023,6.54,8.5,-0.3(-3.41 %),74900,651950000,0,0,8.9,8.9,8.5
03/02/2023,6.85,8.9,0.2(2.30 %),38600,332770000,0,0,8.5,8.9,8.4
06/02/2023,6.54,8.5,-0.1(-1.16 %),41600,352550000,0,0,8.5,8.5,8.3
07/02/2023,6.77,8.8,0.3(3.53 %),82600,729500000,0,0,8.8,9.0,8.4
08/02/2023,6.85,8.9,0.1(1.14 %),61800,554920000,0,0,8.9,9.1,8.8
09/02/2023,7.15,9.3,0.3(3.33 %),53610,490507000,0,0,9.1,9.4,9.0
10/02/2023,7.08,9.2,0(0.00 %),215437,2140772600,0,0,9.4,10.3,9.2
13/02/2023,7.0,9.1,-0.8(-8.08 %),3615,33717500,0,0,9.5,9.5,9.1
14/02/2023,6.69,8.7,-0.6(-6.45 %),12700,113760000,0,0,9.3,9.3,8.7
15/02/2023,6.62,8.6,-0.4(-4.44 %),34400,296220000,0,0,8.8,9.0,8.5
16/02/2023,6.92,9.0,0.4(4.65 %),2700,24100000,0,0,8.6,9.0,8.6
17/02/2023,6.85,8.9,0(0.00 %),31000,267050000,0,0,8.9,8.9,8.6
20/02/2023,6.69,8.7,0.1(1.16 %),34200,291870000,0,0,8.9,8.9,8.3
21/02/2023,6.54,8.5,0(0.00 %),12800,108680000,0,0,8.6,8.8,8.4
22/02/2023,6.38,8.3,-0.2(-2.35 %),35800,300200000,0,0,8.4,8.7,8.3
23/02/2023,6.31,8.2,-0.2(-2.38 %),19200,159150000,0,0,8.3,8.4,8.2
24/02/2023,6.31,8.2,-0.1(-1.20 %),60500,480430000,0,0,8.4,8.4,7.3
27/02/2023,6.38,8.3,0.4(5.06 %),4900,39230000,0,0,8.2,8.4,7.8
28/02/2023,5.69,7.4,-0.6(-7.50 %),76200,562370000,0,0,8.1,8.1,7.0
01/03/2023,5.54,7.2,-0.2(-2.70 %),23800,168600000,0,0,7.4,7.4,6.9
02/03/2023,6.0,7.8,0.7(9.86 %),16100,125970000,0,0,7.2,8.1,7.2
03/03/2023,5.85,7.6,-0.2(-2.56 %),14400,102800000,0,0,7.8,7.9,6.9
06/03/2023,5.46,7.1,0(0.00 %),9800,69290000,0,0,7.6,7.6,7.0
07/03/2023,5.23,6.8,-0.3(-4.23 %),16700,114340000,0,0,7.1,7.1,6.7
08/03/2023,5.46,7.1,0.3(4.41 %),25100,173160000,0,0,6.9,7.2,6.7
09/03/2023,5.38,7.0,0.1(1.45 %),12800,88720000,0,0,6.9,7.1,6.8
10/03/2023,5.31,6.9,0(0.00 %),7300,50410000,0,0,6.9,7.0,6.9
13/03/2023,5.23,6.8,-0.1(-1.45 %),28800,197110000,0,0,6.9,6.9,6.7
14/03/2023,5.15,6.7,-0.1(-1.47 %),17200,113670000,0,0,6.8,6.8,6.4
15/03/2023,5.38,7.0,0.4(6.06 %),12500,85380000,0,0,7.1,7.1,6.7
16/03/2023,5.23,6.8,0(0.00 %),3400,22690000,0,0,6.7,6.8,6.6
17/03/2023,5.23,6.8,0.1(1.49 %),1600,11070000,0,0,6.9,7.0,6.7
20/03/2023,5.08,6.6,-0.3(-4.35 %),7100,48870000,0,0,6.9,7.0,6.6
21/03/2023,5.08,6.6,-0.3(-4.35 %),7100,47580000,0,0,6.8,6.9,6.6
22/03/2023,5.23,6.8,0.1(1.49 %),3000,20220000,0,0,6.8,6.8,6.7
23/03/2023,5.15,6.7,0(0.00 %),7900,52230000,0,0,6.7,6.7,6.4
24/03/2023,5.08,6.6,0(0.00 %),2100,13890000,0,0,6.8,6.8,6.5
27/03/2023,5.0,6.5,-0.1(-1.52 %),16300,106410000,0,0,6.6,6.6,6.5
28/03/2023,5.08,6.6,0.1(1.54 %),5300,34960000,0,0,6.6,6.6,6.5
29/03/2023,5.08,6.6,0(0.00 %),33300,221480000,0,0,6.7,6.7,6.6
30/03/2023,5.23,6.8,0.1(1.49 %),7900,52580000,0,0,6.6,6.8,6.6
31/03/2023,5.23,6.8,0.1(1.49 %),14700,100160000,0,0,6.7,6.9,6.7
03/04/2023,5.31,6.9,0.1(1.47 %),10500,71360000,0,0,6.7,6.9,6.7
04/04/2023,5.23,6.8,0(0.00 %),31700,215570000,0,0,6.9,6.9,6.8
05/04/2023,5.31,6.9,0.1(1.47 %),6000,41240000,0,0,6.7,6.9,6.7
06/04/2023,5.46,7.1,0.2(2.90 %),31500,221350000,0,0,6.9,7.3,6.9
07/04/2023,5.77,7.5,0.5(7.14 %),14400,107780000,0,0,7.1,7.8,7.1
10/04/2023,6.08,7.9,0.4(5.33 %),38900,299260000,0,0,7.9,8.0,7.4
11/04/2023,6.0,7.8,0.1(1.30 %),10100,78510000,0,0,8.0,8.0,7.4
12/04/2023,5.85,7.6,-0.2(-2.56 %),46700,331480000,0,0,7.9,7.9,7.0
13/04/2023,5.15,6.7,-0.4(-5.63 %),7100,49320000,0,0,7.2,7.4,6.6
14/04/2023,5.31,6.9,0(0.00 %),16000,111230000,0,0,7.2,7.2,6.9
17/04/2023,5.54,7.2,0.2(2.86 %),800,5740000,0,0,7.3,7.3,7.0
18/04/2023,5.46,7.1,-0.1(-1.39 %),9600,66490000,0,0,6.7,7.3,6.7
19/04/2023,5.31,6.9,0(0.00 %),4500,30870000,0,0,7.1,7.1,6.8
20/04/2023,5.23,6.8,-0.1(-1.45 %),3700,25160000,0,0,6.8,6.8,6.8
21/04/2023,5.31,6.9,0.1(1.47 %),7800,53040000,0,0,6.8,6.9,6.7
24/04/2023,5.23,6.8,0(0.00 %),6800,47420000,0,0,7.4,7.4,6.8
25/04/2023,5.23,6.8,-0.2(-2.86 %),1100,7560000,0,0,7.2,7.2,6.8
26/04/2023,5.23,6.8,-0.1(-1.45 %),6500,44280000,0,0,6.9,6.9,6.7
27/04/2023,5.46,7.1,0.3(4.41 %),11000,79140000,0,0,7.2,7.2,7.1
28/04/2023,5.23,6.8,-0.4(-5.56 %),12300,84330000,0,0,6.8,7.1,6.8
04/05/2023,5.23,6.8,-0.1(-1.45 %),1400,9640000,0,0,7.2,7.2,6.8
05/05/2023,5.0,6.5,-0.4(-5.80 %),21800,142450000,0,0,6.8,6.8,6.5
08/05/2023,5.15,6.7,0.2(3.08 %),200,1350000,0,0,6.8,6.8,6.7
09/05/2023,5.0,6.5,-0.3(-4.41 %),4000,26400000,0,0,6.7,6.7,6.5
10/05/2023,5.08,6.6,0(0.00 %),36300,239580000,0,0,6.6,6.6,6.6
11/05/2023,5.08,6.6,0(0.00 %),4100,27060000,0,0,6.6,6.6,6.6
12/05/2023,5.08,6.6,0(0.00 %),43800,289110000,0,0,6.6,6.9,6.6
15/05/2023,5.08,6.6,0(0.00 %),26800,176760000,0,0,6.6,6.7,6.5
16/05/2023,5.15,6.7,0.1(1.52 %),18100,126550000,0,0,6.9,7.1,6.7
17/05/2023,5.69,7.4,0.4(5.71 %),84300,607280000,0,0,7.0,8.0,7.0
18/05/2023,5.46,7.1,-0.1(-1.39 %),8100,59520000,0,0,7.7,8.0,7.1
19/05/2023,5.0,6.5,-0.8(-10.96 %),41400,274060000,0,0,6.8,6.8,6.5
22/05/2023,5.15,6.7,0.1(1.52 %),10800,74330000,0,0,6.8,7.0,6.7
23/05/2023,5.08,6.6,-0.3(-4.35 %),19600,132120000,0,0,6.9,6.9,6.5
24/05/2023,4.92,6.4,-0.3(-4.48 %),42610,275047800,0,0,6.7,6.7,6.4
25/05/2023,5.0,6.5,0(0.00 %),29700,185350000,0,0,6.4,6.5,6.1
26/05/2023,4.77,6.2,0(0.00 %),50600,318480000,0,0,6.3,6.6,6.2
29/05/2023,5.08,6.6,0.3(4.76 %),11700,77150000,0,0,6.6,6.7,6.5
30/05/2023,5.08,6.6,0(0.00 %),33600,222170000,0,0,6.6,6.8,6.4
31/05/2023,5.08,6.6,0(0.00 %),25400,170530000,0,0,6.5,6.8,6.5
01/06/2023,5.23,6.8,0.1(1.49 %),21800,146930000,0,0,6.7,6.8,6.7
02/06/2023,5.23,6.8,0.1(1.49 %),16100,109900000,0,0,6.9,6.9,6.7
05/06/2023,5.08,6.6,-0.2(-2.94 %),54800,364660000,0,0,6.8,6.9,6.5
06/06/2023,5.23,6.8,0.1(1.49 %),10400,69710000,0,0,6.7,6.8,6.7
07/06/2023,5.08,6.6,-0.1(-1.49 %),47500,313950000,0,0,6.7,6.7,6.6
08/06/2023,5.0,6.5,-0.1(-1.52 %),14500,95790000,0,0,6.7,6.7,6.5
09/06/2023,5.0,6.5,-0.1(-1.52 %),42800,276770000,0,0,6.6,6.6,6.4
12/06/2023,5.0,6.5,0(0.00 %),14600,94630000,0,0,6.4,6.6,6.3
13/06/2023,5.69,7.4,0.9(13.85 %),192400,1363110000,0,0,6.6,7.4,6.5
14/06/2023,6.0,7.8,0.7(9.86 %),82300,660400000,120000,840000000,7.8,8.1,7.0
15/06/2023,5.31,6.9,-1.1(-13.75 %),57700,419630000,50000,400000000,8.0,8.8,6.8
16/06/2023,5.15,6.7,-0.6(-8.22 %),55900,385140000,0,0,6.8,7.2,6.7
19/06/2023,5.15,6.7,-0.2(-2.90 %),25800,172510000,0,0,7.0,7.0,6.6
20/06/2023,5.23,6.8,0.1(1.49 %),15300,103720000,0,0,6.7,7.3,6.6
21/06/2023,5.23,6.8,0(0.00 %),4100,28210000,0,0,7.1,7.1,6.8
22/06/2023,5.38,7.0,0.1(1.45 %),4600,31750000,60000,474000000,6.9,7.9,6.9
23/06/2023,5.31,6.9,0(0.00 %),27300,186580000,0,0,7.0,7.0,6.8
26/06/2023,5.31,6.9,0.1(1.47 %),16900,115140000,0,0,6.8,7.0,6.8
27/06/2023,5.38,7.0,0.2(2.94 %),29200,203850000,0,0,7.0,7.0,6.9
28/06/2023,5.46,7.1,0.1(1.43 %),37705,263919000,31000,217000000,7.0,7.1,6.9
29/06/2023,5.31,6.9,-0.1(-1.43 %),12151,84337100,0,0,7.0,7.0,6.9
30/06/2023,5.31,6.9,0(0.00 %),21300,144510000,0,0,6.9,6.9,6.7
03/07/2023,5.23,6.8,0(0.00 %),11701,79747800,0,0,6.8,6.9,6.8
04/07/2023,5.15,6.7,-0.1(-1.47 %),16800,112830000,0,0,6.8,6.9,6.7
05/07/2023,5.23,6.8,0.1(1.49 %),200,1360000,0,0,6.8,6.8,6.8
06/07/2023,5.15,6.7,-0.1(-1.47 %),21201,142347800,0,0,6.8,6.8,6.6
07/07/2023,5.15,6.7,0(0.00 %),15303,102250700,0,0,6.7,6.7,6.6
10/07/2023,5.08,6.6,-0.1(-1.49 %),5700,38310000,0,0,6.8,6.8,6.6
11/07/2023,5.0,6.5,-0.2(-2.99 %),30240,197663300,0,0,6.7,6.7,6.5
