Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
26/06/2017,0,0,0(0.00 %),0,0,0,0,7349146,0.0
27/06/2017,0,0,0(0.00 %),0,0,0,0,7349146,0.0
28/06/2017,0,0,0(0.00 %),0,0,0,0,7349146,0.0
29/06/2017,0,0,0(0.00 %),0,0,0,0,7349146,0.0
30/06/2017,0,0,0(0.00 %),0,0,0,0,7349146,0.0
03/07/2017,0,0,0(0.00 %),0,0,0,0,7349146,0.0
04/07/2017,0,0,0(0.00 %),0,0,0,0,7349146,0.0
05/07/2017,0,0,23.5(-4.47 %),0,0,0,0,7349146,0.0
06/07/2017,0,0,27(13.92 %),0,0,0,0,7349146,0.0
07/07/2017,0,0,26.1(1.56 %),0,0,0,0,7349146,0.0
10/07/2017,0,0,24.1(-5.86 %),0,0,0,0,7349146,0.0
11/07/2017,0,0,24.5(1.66 %),0,0,0,0,7349146,0.0
12/07/2017,0,0,26(3.59 %),0,0,0,0,7349146,0.0
13/07/2017,0,0,25.8(3.61 %),0,0,0,0,7349146,0.0
14/07/2017,0,0,25.4(0.79 %),0,0,0,0,7349146,0.0
17/07/2017,3000,73500000,25(-0.40 %),3000,73500000,0,0,7346146,0.02
18/07/2017,1500,36000000,24.5(0.00 %),1500,36000000,0,0,7344646,0.03
19/07/2017,0,0,24.6(-0.40 %),0,0,0,0,7344646,0.03
20/07/2017,1500,36000000,24.6(0.82 %),1500,36000000,0,0,7343146,0.04
21/07/2017,2000,48000000,24.5(0.82 %),2000,48000000,0,0,7341146,0.05
24/07/2017,0,0,24.3(1.25 %),0,0,0,0,7341146,0.05
25/07/2017,0,0,24.4(1.24 %),0,0,0,0,7341146,0.05
26/07/2017,2000,49000000,24.6(1.23 %),2000,49000000,0,0,7339146,0.07
27/07/2017,0,200000,24.7(1.23 %),2000,49000000,2000,48800000,7337146,0.08
28/07/2017,0,0,24.5(0.00 %),0,0,0,0,7337146,0.08
31/07/2017,2000,48600000,24(-1.64 %),2000,48600000,0,0,7335146,0.09
01/08/2017,0,0,24(-1.23 %),0,0,0,0,7337146,0.08
02/08/2017,0,0,24(-0.41 %),0,0,0,0,7337146,0.08
03/08/2017,2000,47000000,23.5(-2.08 %),2000,47000000,0,0,7335146,0.09
04/08/2017,0,0,23.4(-0.43 %),0,0,0,0,7335146,0.09
07/08/2017,0,0,22.9(-0.43 %),0,0,0,0,7335146,0.09
08/08/2017,0,0,22.8(0.00 %),0,0,0,0,7335146,0.09
09/08/2017,0,0,24(6.19 %),0,0,0,0,7335146,0.09
10/08/2017,0,0,22.5(-0.88 %),0,0,0,0,7335146,0.09
11/08/2017,0,0,23(1.77 %),0,0,0,0,7335146,0.09
14/08/2017,0,0,22.6(-1.74 %),0,0,0,0,7335146,0.09
15/08/2017,0,0,23.5(3.52 %),0,0,0,0,7335146,0.09
16/08/2017,0,0,22.3(-5.11 %),0,0,0,0,7335146,0.09
17/08/2017,0,0,22(-1.35 %),0,0,0,0,7335146,0.09
18/08/2017,0,0,22.8(1.33 %),0,0,0,0,7335146,0.09
21/08/2017,0,0,22(0.00 %),0,0,0,0,7335146,0.09
22/08/2017,0,0,21.5(-4.02 %),0,0,0,0,7335146,0.09
23/08/2017,0,0,22(0.00 %),0,0,0,0,7335146,0.09
24/08/2017,0,0,22(-0.45 %),0,0,0,0,7335146,0.09
25/08/2017,0,0,22.1(0.91 %),0,0,0,0,7335146,0.09
28/08/2017,0,0,21.7(-1.81 %),0,0,0,0,7335146,0.09
29/08/2017,0,0,22.5(2.74 %),0,0,0,0,7335146,0.09
30/08/2017,0,0,22(-2.22 %),0,0,0,0,7335146,0.09
31/08/2017,0,0,21.5(-2.27 %),0,0,0,0,7335146,0.09
01/09/2017,0,0,21.4(-0.47 %),0,0,0,0,7335146,0.09
05/09/2017,0,0,21.5(0.00 %),0,0,0,0,7335146,0.09
06/09/2017,0,0,21.8(0.00 %),0,0,0,0,7335146,0.09
07/09/2017,0,0,21.5(0.00 %),0,0,0,0,7335146,0.09
08/09/2017,0,0,21.4(-0.47 %),0,0,0,0,7335146,0.09
12/09/2017,0,0,20(2.56 %),0,0,0,0,7335146,0.09
13/09/2017,0,0,21(5.00 %),0,0,0,0,7335146,0.09
14/09/2017,0,0,21.4(5.94 %),0,0,0,0,7335146,0.09
15/09/2017,0,0,23.9(11.16 %),0,0,0,0,7335146,0.09
18/09/2017,0,0,24(1.69 %),0,0,0,0,7335146,0.09
19/09/2017,0,0,22(-7.56 %),0,0,0,0,7335146,0.09
20/09/2017,0,0,20.1(-8.64 %),0,0,0,0,7335146,0.09
21/09/2017,0,0,22.1(0.00 %),0,0,0,0,7335146,0.09
22/09/2017,0,0,22(1.85 %),0,0,0,0,7335146,0.09
25/09/2017,0,0,19.9(-7.01 %),0,0,0,0,7335146,0.09
26/09/2017,0,0,22(10.55 %),0,0,0,0,7335146,0.09
27/09/2017,0,0,21.5(-2.27 %),0,0,0,0,7335146,0.09
28/09/2017,0,0,22(3.77 %),0,0,0,0,7335146,0.09
29/09/2017,0,0,22.5(2.27 %),0,0,0,0,7335146,0.09
02/10/2017,0,0,22.5(0.00 %),0,0,0,0,7335146,0.09
03/10/2017,0,0,21(-6.67 %),0,0,0,0,7335146,0.09
04/10/2017,0,0,22(8.37 %),0,0,0,0,7335146,0.09
05/10/2017,0,0,22(0.00 %),0,0,0,0,7335146,0.09
06/10/2017,0,0,19.5(-11.36 %),0,0,0,0,7335146,0.09
11/10/2017,0,0,19(-13.24 %),0,0,0,0,7335146,0.09
12/10/2017,0,0,22(14.58 %),0,0,0,0,7335146,0.09
16/10/2017,0,0,18.7(-14.61 %),0,0,0,0,7335146,0.09
18/10/2017,0,0,21.3(7.04 %),0,0,0,0,7335146,0.09
19/10/2017,0,0,19.1(-8.17 %),0,0,0,0,7335146,0.09
20/10/2017,0,0,20(4.17 %),0,0,0,0,7335146,0.09
23/10/2017,0,0,19.3(-3.50 %),0,0,0,0,7335146,0.09
24/10/2017,0,0,19.9(2.58 %),0,0,0,0,7335146,0.09
25/10/2017,0,0,19(-4.52 %),0,0,0,0,7335146,0.09
26/10/2017,0,0,17(-11.46 %),0,0,0,0,7335146,0.09
27/10/2017,0,0,20(13.64 %),0,0,0,0,7335146,0.09
30/10/2017,0,0,20(0.00 %),0,0,0,0,7335146,0.09
31/10/2017,0,0,20(0.00 %),0,0,0,0,7335146,0.09
01/11/2017,0,0,19.7(0.00 %),0,0,0,0,7335146,0.09
02/11/2017,0,0,18(-8.63 %),0,0,0,0,7335146,0.09
03/11/2017,0,0,19(1.06 %),0,0,0,0,7335146,0.09
06/11/2017,0,0,18.9(-0.53 %),0,0,0,0,7335146,0.09
07/11/2017,0,0,18(-4.76 %),0,0,0,0,7335146,0.09
08/11/2017,0,0,18(0.00 %),0,0,0,0,7335146,0.09
09/11/2017,0,0,18.5(2.78 %),0,0,0,0,7335146,0.09
10/11/2017,0,0,17.5(-4.89 %),0,0,0,0,7335146,0.09
13/11/2017,0,0,20(14.29 %),0,0,0,0,7335146,0.09
14/11/2017,1300,23400000,18(-10.00 %),1300,23400000,0,0,7333846,0.1
15/11/2017,300,5400000,18(-1.10 %),300,5400000,0,0,7333546,0.1
16/11/2017,700,12950000,18.5(4.52 %),700,12950000,0,0,7332846,0.11
17/11/2017,0,0,19.4(4.86 %),0,0,0,0,7332846,0.11
20/11/2017,0,0,19.4(1.04 %),0,0,0,0,7332846,0.11
21/11/2017,1400,25480000,18.2(-6.19 %),1400,25480000,0,0,7331446,0.12
22/11/2017,3200,57800000,18(-1.10 %),3200,57800000,0,0,7328246,0.14
23/11/2017,1700,30770000,18.5(2.21 %),1700,30770000,0,0,7326546,0.15
24/11/2017,0,0,18(-1.64 %),800,14400000,800,14400000,7325746,0.16
27/11/2017,0,0,17(-5.56 %),0,0,0,0,7325746,0.16
28/11/2017,-600,-10560000,19(11.76 %),0,0,600,10560000,7325746,0.16
29/11/2017,0,0,18.1(1.69 %),800,14400000,800,14400000,7325746,0.16
30/11/2017,0,0,18(0.00 %),0,0,0,0,7325746,0.16
01/12/2017,0,0,18.1(0.56 %),0,0,0,0,7326346,0.15
04/12/2017,0,0,18.5(2.21 %),0,0,0,0,7327146,0.15
05/12/2017,0,0,18(-0.55 %),0,0,0,0,7327146,0.15
06/12/2017,0,0,19(5.56 %),0,0,0,0,7327146,0.15
07/12/2017,0,0,18(-4.76 %),0,0,0,0,7327146,0.15
08/12/2017,0,0,18.1(0.56 %),0,0,0,0,7327146,0.15
11/12/2017,0,0,18(-1.10 %),0,0,0,0,7327146,0.15
12/12/2017,0,0,18.2(1.11 %),0,0,0,0,7327146,0.15
13/12/2017,0,0,18(0.00 %),0,0,0,0,7327146,0.15
14/12/2017,0,0,17.3(-3.89 %),0,0,0,0,7327146,0.15
15/12/2017,0,0,17.5(-1.13 %),0,0,0,0,7327146,0.15
18/12/2017,0,0,17.5(0.00 %),0,0,0,0,7327146,0.15
19/12/2017,0,0,17.5(0.00 %),0,0,0,0,7327146,0.15
20/12/2017,0,0,18(2.86 %),0,0,0,0,7327146,0.15
21/12/2017,0,0,18(0.00 %),0,0,0,0,7327146,0.15
22/12/2017,0,0,17.5(-2.78 %),0,0,0,0,7327146,0.15
25/12/2017,0,0,17.9(0.00 %),0,0,0,0,7327146,0.15
26/12/2017,0,0,18(0.56 %),0,0,0,0,7327146,0.15
27/12/2017,0,0,18.5(2.78 %),0,0,0,0,7327146,0.15
28/12/2017,0,0,18(-2.70 %),0,0,0,0,7327146,0.15
29/12/2017,0,0,18.6(3.33 %),0,0,0,0,7327146,0.15
02/01/2018,0,0,18.7(1.08 %),0,0,0,0,7327146,0.15
03/01/2018,0,0,20(5.82 %),0,0,0,0,7327146,0.15
04/01/2018,0,0,19.5(-2.50 %),0,0,0,0,7327146,0.15
05/01/2018,0,0,19.6(0.00 %),0,0,0,0,7327146,0.15
08/01/2018,0,0,20.5(4.59 %),0,0,0,0,7327146,0.15
09/01/2018,0,0,19.5(-4.88 %),0,0,0,0,7327146,0.15
10/01/2018,0,0,19.5(0.00 %),0,0,0,0,7327146,0.15
11/01/2018,0,0,19.3(-1.03 %),0,0,0,0,7327146,0.15
12/01/2018,0,0,19.3(0.00 %),0,0,0,0,7327146,0.15
15/01/2018,0,0,19(-1.55 %),0,0,0,0,7327146,0.15
16/01/2018,0,0,19(0.00 %),0,0,0,0,7327146,0.15
17/01/2018,0,0,19(0.00 %),0,0,0,0,7327146,0.15
18/01/2018,0,0,19(0.00 %),0,0,0,0,7327146,0.15
19/01/2018,0,0,21.8(14.74 %),0,0,0,0,7327146,0.15
22/01/2018,0,0,21.8(0.00 %),0,0,0,0,7327146,0.15
23/01/2018,0,0,21.8(0.00 %),0,0,0,0,7327146,0.15
24/01/2018,0,0,18.6(-14.68 %),0,0,0,0,7327146,0.15
25/01/2018,0,0,18.2(-4.71 %),0,0,0,0,7327146,0.15
26/01/2018,0,0,18.4(0.00 %),0,0,0,0,7327146,0.15
29/01/2018,0,0,18.4(0.00 %),0,0,0,0,7327146,0.15
30/01/2018,1900,34460000,18.5(0.54 %),1900,34460000,0,0,7325246,0.16
31/01/2018,0,0,19(3.83 %),0,0,0,0,7325246,0.16
01/02/2018,0,0,19(-2.56 %),0,0,0,0,7325246,0.16
02/02/2018,0,0,19.2(1.05 %),0,0,0,0,7325246,0.16
05/02/2018,0,0,18.1(-5.73 %),0,0,0,0,7325246,0.16
06/02/2018,0,0,18(-2.17 %),0,0,0,0,7325246,0.16
07/02/2018,0,0,18(0.00 %),0,0,0,0,7325246,0.16
08/02/2018,0,0,19(5.56 %),0,0,0,0,7325246,0.16
09/02/2018,1500,27600000,18(-5.26 %),1500,27600000,0,0,7323746,0.17
12/02/2018,1500,27000000,18(-2.17 %),1500,27000000,0,0,7322246,0.18
13/02/2018,0,0,18.3(0.00 %),0,0,0,0,7322246,0.18
21/02/2018,0,0,19(3.83 %),0,0,0,0,7322246,0.18
22/02/2018,0,0,18.8(-1.05 %),0,0,0,0,7322246,0.18
23/02/2018,0,0,19.1(1.60 %),0,0,0,0,7322246,0.18
26/02/2018,0,0,19.5(1.04 %),0,0,0,0,7322246,0.18
27/02/2018,0,0,19.6(0.51 %),0,0,0,0,7322246,0.18
28/02/2018,0,0,20.5(4.59 %),0,0,0,0,7322246,0.18
01/03/2018,0,0,20.5(1.49 %),0,0,0,0,7322246,0.18
02/03/2018,-1000,-23000000,23(12.20 %),0,0,1000,23000000,7322246,0.18
05/03/2018,0,0,21.7(-4.82 %),0,0,0,0,7322246,0.18
06/03/2018,0,0,22.6(0.00 %),0,0,0,0,7322246,0.18
07/03/2018,0,0,21.2(-6.19 %),0,0,0,0,7323246,0.17
08/03/2018,0,0,21.6(0.00 %),0,0,0,0,7323246,0.17
09/03/2018,0,0,21.1(-2.31 %),0,0,0,0,7323246,0.17
12/03/2018,0,0,21.5(1.90 %),0,0,0,0,7323246,0.17
14/03/2018,0,0,21(0.00 %),0,0,0,0,7323246,0.17
15/03/2018,0,0,21(0.00 %),0,0,0,0,7323246,0.17
16/03/2018,0,0,20.9(-0.48 %),0,0,0,0,7323246,0.17
19/03/2018,0,0,20.8(0.00 %),0,0,0,0,7323246,0.17
20/03/2018,0,0,21.4(2.88 %),0,0,0,0,7323246,0.17
21/03/2018,0,0,20.4(-4.67 %),0,0,0,0,7323246,0.17
22/03/2018,0,0,21.3(4.41 %),0,0,0,0,7323246,0.17
23/03/2018,0,0,20.2(-5.16 %),0,0,0,0,7323246,0.17
26/03/2018,0,0,20(-1.48 %),0,0,0,0,7323246,0.17
27/03/2018,0,0,19.5(-6.70 %),0,0,0,0,7323246,0.17
28/03/2018,0,0,19.5(0.00 %),0,0,0,0,7323246,0.17
29/03/2018,0,0,19.5(0.00 %),0,0,0,0,7323246,0.17
30/03/2018,0,0,19.5(0.52 %),0,0,0,0,7323246,0.17
02/04/2018,0,0,19.4(-0.51 %),0,0,0,0,7323246,0.17
03/04/2018,3100,60040000,19.2(-1.54 %),3100,60040000,0,0,7320146,0.19
04/04/2018,0,0,19.3(0.00 %),0,0,0,0,7320146,0.19
05/04/2018,100,1930000,19.3(-0.52 %),100,1930000,0,0,7320046,0.19
06/04/2018,0,0,19.3(0.00 %),0,0,0,0,7320046,0.19
09/04/2018,1500,28950000,19.3(0.00 %),1500,28950000,0,0,7318546,0.2
10/04/2018,4800,92640000,19.5(0.52 %),4800,92640000,0,0,7313746,0.24
11/04/2018,9500,183350000,19.3(0.00 %),9500,183350000,0,0,7304246,0.3
12/04/2018,4100,79100000,19.1(-1.04 %),4100,79100000,0,0,7300146,0.33
13/04/2018,900,17160000,18.6(-3.63 %),900,17160000,0,0,7299246,0.33
16/04/2018,0,0,19(0.00 %),0,0,0,0,7299246,0.33
17/04/2018,0,0,19(0.00 %),0,0,0,0,7299246,0.33
18/04/2018,7300,138700000,19(0.00 %),7300,138700000,0,0,7291946,0.38
19/04/2018,3200,60600000,18.9(-0.53 %),3200,60600000,0,0,7288746,0.4
20/04/2018,3900,73710000,21(10.53 %),3900,73710000,0,0,7284846,0.43
23/04/2018,6300,119470000,18.9(-2.58 %),6300,119470000,0,0,7278546,0.47
24/04/2018,0,0,19(-0.52 %),0,0,0,0,7278546,0.47
26/04/2018,2600,49350000,18.5(-2.63 %),2600,49350000,0,0,7275946,0.49
27/04/2018,600,11100000,18.4(-2.65 %),600,11100000,0,0,7275346,0.49
02/05/2018,700,12950000,18.5(0.00 %),700,12950000,0,0,7274646,0.5
03/05/2018,3900,71510000,18.5(0.00 %),3900,71510000,0,0,7270746,0.52
04/05/2018,0,0,18.5(1.09 %),0,0,0,0,7270746,0.52
07/05/2018,500,9150000,18.5(0.00 %),500,9150000,0,0,7270246,0.53
08/05/2018,0,0,18.5(1.09 %),0,0,0,0,7270246,0.53
09/05/2018,500,9250000,18.5(0.00 %),500,9250000,0,0,7269746,0.53
10/05/2018,2900,53810000,18.5(-0.54 %),2900,53810000,0,0,7266846,0.55
11/05/2018,800,14800000,18.5(0.00 %),800,14800000,0,0,7266046,0.55
14/05/2018,300,5550000,18.5(0.00 %),300,5550000,0,0,7265746,0.56
15/05/2018,700,12950000,18.5(0.00 %),700,12950000,0,0,7265046,0.56
16/05/2018,400,7400000,18.5(0.00 %),400,7400000,0,0,7264646,0.56
17/05/2018,3200,59200000,18.5(0.00 %),3200,59200000,0,0,7261446,0.58
18/05/2018,800,14800000,18.7(1.08 %),800,14800000,0,0,7260646,0.59
21/05/2018,1100,20350000,18.5(0.00 %),1100,20350000,0,0,7259546,0.6
22/05/2018,0,0,18.5(0.00 %),0,0,0,0,7259546,0.6
23/05/2018,-3800,-70420000,18.6(-0.53 %),3700,68450000,7500,138870000,7255846,0.62
24/05/2018,-2100,-39360000,18.6(0.54 %),3000,55500000,5100,94860000,7252846,0.64
25/05/2018,-400,-7440000,18.6(0.00 %),0,0,400,7440000,7252846,0.64
29/05/2018,3500,63000000,18.2(0.00 %),3500,63000000,0,0,7259546,0.6
30/05/2018,1600,28800000,18(0.00 %),1600,28800000,0,0,7258346,0.61
31/05/2018,1400,25200000,18.5(2.78 %),1400,25200000,0,0,7256946,0.61
01/06/2018,0,0,18.5(2.21 %),0,0,0,0,7256946,0.61
04/06/2018,500,8350000,17(1.80 %),500,8350000,0,0,7256446,0.62
06/06/2018,1800,30160000,16.9(0.00 %),1800,30160000,0,0,7254646,0.63
07/06/2018,-3000,-50050000,16.7(0.00 %),0,0,3000,50050000,7254646,0.63
08/06/2018,0,0,19(13.77 %),0,0,0,0,7254646,0.63
11/06/2018,-100,-1630000,16.6(-12.63 %),0,0,100,1630000,7254646,0.63
12/06/2018,3100,51460000,16.7(0.60 %),3100,51460000,0,0,7254546,0.63
13/06/2018,3000,49800000,16.7(0.00 %),3000,49800000,0,0,7251546,0.65
14/06/2018,100,1660000,17.1(2.40 %),100,1660000,0,0,7251546,0.65
15/06/2018,1900,31730000,16.7(-1.18 %),1900,31730000,0,0,7249646,0.66
18/06/2018,5100,85170000,16.7(0.00 %),5100,85170000,0,0,7244546,0.7
19/06/2018,2500,41700000,16.6(-0.60 %),2500,41700000,0,0,7242046,0.71
20/06/2018,3200,53200000,16.7(0.00 %),3200,53200000,0,0,7238846,0.74
21/06/2018,1600,26560000,16.6(0.00 %),1600,26560000,0,0,7237246,0.75
22/06/2018,0,0,16.9(0.00 %),0,0,0,0,7237246,0.75
25/06/2018,900,15210000,16.9(-5.59 %),900,15210000,0,0,7236346,0.75
26/06/2018,1300,21840000,16.8(-0.59 %),1300,21840000,0,0,7235046,0.76
27/06/2018,3100,52080000,16.7(-4.02 %),3100,52080000,0,0,7231946,0.78
28/06/2018,1000,16800000,17.5(2.34 %),1000,16800000,0,0,7230946,0.79
29/06/2018,0,0,17.1(-0.58 %),0,0,0,0,7230946,0.79
02/07/2018,4900,83650000,16.8(-4.00 %),4900,83650000,0,0,7226046,0.82
03/07/2018,6800,113390000,16.8(-1.18 %),6800,113390000,0,0,7219246,0.87
04/07/2018,6100,100650000,16.6(-0.60 %),6100,100650000,0,0,7213146,0.91
05/07/2018,6200,102300000,16(-3.03 %),6200,102300000,0,0,7206946,0.95
06/07/2018,0,0,16.5(0.00 %),0,0,0,0,7206946,0.95
09/07/2018,3000,49050000,16.3(-0.61 %),3000,49050000,0,0,7203946,0.97
10/07/2018,0,0,16.5(0.61 %),0,0,0,0,7203946,0.97
11/07/2018,5600,92400000,16.5(-1.79 %),5600,92400000,0,0,7198346,1.01
12/07/2018,6100,100420000,16.5(0.00 %),6100,100420000,0,0,7192246,1.05
13/07/2018,0,0,16.5(0.00 %),0,0,0,0,7192246,1.05
16/07/2018,0,0,17(0.00 %),0,0,0,0,7192246,1.05
17/07/2018,3500,59500000,17(-1.16 %),3500,59500000,0,0,7188746,1.07
18/07/2018,2200,37250000,17(0.00 %),2200,37250000,0,0,7186546,1.08
19/07/2018,1800,30360000,16.8(-1.18 %),1800,30360000,0,0,7184746,1.1
20/07/2018,2500,42250000,17(-1.16 %),2500,42250000,0,0,7182246,1.11
23/07/2018,1500,25350000,16.9(0.00 %),1500,25350000,0,0,7180746,1.12
24/07/2018,1800,30320000,16.8(-0.59 %),1800,30320000,0,0,7178946,1.13
25/07/2018,500,8400000,16.8(0.00 %),500,8400000,0,0,7178446,1.14
26/07/2018,0,0,16.8(0.00 %),0,0,0,0,7178446,1.14
27/07/2018,0,0,16.9(0.60 %),0,0,0,0,7178446,1.14
30/07/2018,6900,116610000,16(-5.33 %),6900,116610000,0,0,7171546,1.18
31/07/2018,0,0,16.7(0.00 %),0,0,0,0,7171546,1.18
01/08/2018,3900,65130000,16.6(-0.60 %),3900,65130000,0,0,7167646,1.21
02/08/2018,7000,116590000,16.6(-0.60 %),7000,116590000,0,0,7160646,1.26
03/08/2018,0,0,16.7(0.00 %),0,0,0,0,7160646,1.26
06/08/2018,1800,30060000,16.8(0.60 %),1800,30060000,0,0,7158846,1.27
07/08/2018,6800,113740000,16.8(0.00 %),6800,113740000,0,0,7152046,1.31
08/08/2018,3300,55110000,16.8(0.60 %),3300,55110000,0,0,7148746,1.34
09/08/2018,6800,113560000,16.5(-1.20 %),6800,113560000,0,0,7141946,1.38
10/08/2018,2900,48430000,16.7(0.00 %),2900,48430000,0,0,7139046,1.4
13/08/2018,0,0,16.7(0.00 %),0,0,0,0,7139046,1.4
14/08/2018,2500,41750000,0(0.00 %),2500,41750000,0,0,7136546,1.42
15/08/2018,3700,61400000,16.5(-1.20 %),3700,61400000,0,0,7132846,1.44
16/08/2018,3500,57800000,16.4(-1.20 %),3500,57800000,0,0,7129346,1.47
17/08/2018,7100,116440000,16.4(-0.61 %),7100,116440000,0,0,7122246,1.51
20/08/2018,4700,77080000,16.7(1.83 %),4700,77080000,0,0,7117546,1.54
21/08/2018,7000,114100000,16.3(-0.61 %),7000,114100000,0,0,7110546,1.59
22/08/2018,10600,172780000,16.3(0.00 %),10600,172780000,0,0,7099946,1.66
23/08/2018,7100,115730000,16.4(0.61 %),7100,115730000,0,0,7092846,1.71
27/08/2018,2000,32600000,16.3(0.00 %),2000,32600000,0,0,7088546,1.74
28/08/2018,1700,28050000,16.5(0.61 %),1700,28050000,0,0,7086846,1.75
30/08/2018,0,0,16.2(5.19 %),0,0,0,0,7086846,1.75
31/08/2018,0,0,16.3(0.62 %),0,0,0,0,7086846,1.75
04/09/2018,1200,19560000,16(-1.84 %),1200,19560000,0,0,7085646,1.76
05/09/2018,4700,75200000,16(-0.62 %),4700,75200000,0,0,7080946,1.79
07/09/2018,0,0,16.1(0.62 %),0,0,0,0,7079846,1.8
10/09/2018,1800,28980000,16.1(0.00 %),1800,28980000,0,0,7078046,1.81
13/09/2018,0,0,16.5(1.85 %),0,0,0,0,0,0.0
14/09/2018,800,13280000,16.4(-1.20 %),800,13280000,0,0,0,0.0
17/09/2018,100,1640000,16.4(-1.20 %),100,1640000,0,0,7076646,1.82
18/09/2018,0,0,16(-2.44 %),0,0,0,0,7076646,1.82
19/09/2018,0,0,15.6(0.00 %),0,0,0,0,7076646,1.82
20/09/2018,0,0,16.2(3.85 %),0,0,0,0,7076646,1.82
21/09/2018,3500,56200000,16.2(0.00 %),3500,56200000,0,0,7073146,1.84
24/09/2018,2900,46980000,16.2(0.62 %),2900,46980000,0,0,7073746,1.84
25/09/2018,0,0,16.5(1.85 %),0,0,0,0,7070246,1.86
26/09/2018,0,0,16.7(1.21 %),0,0,0,0,7070246,1.86
27/09/2018,800,13200000,16.7(1.21 %),800,13200000,0,0,7069446,1.86
28/09/2018,500,8250000,16.5(-0.60 %),500,8250000,0,0,7068946,1.87
01/10/2018,500,8250000,16.5(0.00 %),500,8250000,0,0,7068446,1.87
02/10/2018,500,8250000,16.5(0.00 %),500,8250000,0,0,7067946,1.87
03/10/2018,500,8250000,16.4(-0.61 %),500,8250000,0,0,7067446,1.88
04/10/2018,500,8250000,16.4(0.61 %),500,8250000,0,0,7066946,1.88
05/10/2018,100,1670000,16.7(1.83 %),100,1670000,0,0,7067346,1.88
08/10/2018,4200,70480000,16.5(-2.37 %),4200,70480000,0,0,7063146,1.91
09/10/2018,1400,23090000,16.4(-1.80 %),1400,23090000,0,0,7061746,1.92
10/10/2018,400,6720000,16.7(0.00 %),400,6720000,0,0,7061346,1.92
11/10/2018,7000,116870000,16.3(-2.40 %),7000,116870000,0,0,7054346,1.97
12/10/2018,5100,83640000,16.4(-0.61 %),5100,83640000,0,0,7049246,2.0
15/10/2018,0,0,16.9(3.05 %),0,0,0,0,7049246,2.0
16/10/2018,1100,18590000,16.9(0.00 %),1100,18590000,0,0,7048146,2.01
17/10/2018,5400,89640000,17(0.59 %),5400,89640000,0,0,7042746,2.04
18/10/2018,0,0,16.6(0.00 %),0,0,0,0,7042746,2.04
19/10/2018,0,0,16.9(1.81 %),0,0,0,0,7042746,2.04
22/10/2018,2700,46810000,17.3(2.37 %),2700,46810000,0,0,7040046,2.06
23/10/2018,3100,53630000,16.8(-3.45 %),3100,53630000,0,0,7036946,2.08
24/10/2018,2700,45700000,16.8(-1.75 %),2700,45700000,0,0,7034246,2.1
25/10/2018,1100,18480000,16.8(-0.59 %),1100,18480000,0,0,7033146,2.11
26/10/2018,3100,52080000,16.8(-2.89 %),3100,52080000,0,0,7030046,2.13
29/10/2018,0,0,16.9(0.60 %),0,0,0,0,7030046,2.13
30/10/2018,2400,40560000,16.6(0.00 %),2400,40560000,0,0,7027646,2.14
31/10/2018,0,0,16.8(-0.59 %),0,0,0,0,7027646,2.14
01/11/2018,6600,110740000,16.6(-1.19 %),6600,110740000,0,0,7021046,2.19
02/11/2018,1400,23520000,16.8(-0.59 %),1400,23520000,0,0,7019646,2.2
05/11/2018,0,0,17.4(3.57 %),0,0,0,0,7019646,2.2
06/11/2018,1600,27360000,16.9(-2.87 %),1600,27360000,0,0,7018046,2.21
07/11/2018,3500,59020000,16.8(-1.18 %),3500,59020000,0,0,7014546,2.23
08/11/2018,0,0,17(0.59 %),0,0,0,0,7014546,2.23
09/11/2018,5700,97140000,17.2(-0.58 %),5700,97140000,0,0,7008846,2.27
12/11/2018,2100,35700000,17(0.00 %),2100,35700000,0,0,7006746,2.28
13/11/2018,3700,62900000,16.9(-1.17 %),3700,62900000,0,0,7003046,2.31
14/11/2018,700,11830000,16.9(-0.59 %),700,11830000,0,0,7002346,2.31
15/11/2018,0,0,17.3(1.76 %),0,0,0,0,7002346,2.31
16/11/2018,0,0,17.9(1.70 %),0,0,0,0,7002346,2.31
19/11/2018,2200,39380000,17.9(0.00 %),2200,39380000,0,0,7000146,2.33
20/11/2018,2600,46540000,17.6(-3.83 %),2600,46540000,0,0,6997546,2.34
21/11/2018,800,14320000,17.9(0.00 %),800,14320000,0,0,6996746,2.35
22/11/2018,500,9100000,18(-1.10 %),500,9100000,0,0,6996246,2.35
23/11/2018,600,10880000,18(-1.10 %),600,10880000,0,0,6995646,2.36
26/11/2018,5200,93220000,17.5(-3.31 %),5200,93220000,0,0,6990446,2.39
27/11/2018,0,0,18.4(2.79 %),0,0,0,0,6990446,2.39
28/11/2018,1700,31040000,18.1(-1.63 %),1700,31040000,0,0,6988746,2.4
29/11/2018,200,3620000,18.4(1.66 %),200,3620000,0,0,6988546,2.4
30/11/2018,0,0,18.3(0.00 %),0,0,0,0,6988546,2.4
03/12/2018,900,16470000,18.3(0.00 %),900,16470000,0,0,6987646,2.41
04/12/2018,4200,77280000,18.4(0.00 %),4200,77280000,0,0,6983446,2.44
05/12/2018,400,7360000,18.5(0.54 %),400,7360000,0,0,6983046,2.44
06/12/2018,0,0,18.8(1.62 %),0,0,0,0,6983046,2.44
07/12/2018,0,0,19.3(1.05 %),0,0,0,0,6983046,2.44
